walk_id,source_place,park_name,park_area,destination_landmark,walking_distance_km,estimated_walk_time_minutes,walking_direction_steps,starting_landmark,ending_landmark,road_name,route_type,safe_for_tourists,street_lighting,best_time_to_walk,crowd_level,scenic_walk,nearby_places_on_route,google_maps_walk_link,description
WLK-001,RK Beach,Tenneti Park,Waltair,Tenneti Park Main Gate,0.9,11,1. Start at RK Beach Bus Stop near the INS Kursura Submarine Museum. 2. Walk north along Beach Road keeping the sea on your right. 3. Pass the Kali Temple on your left. 4. Continue straight past the Waltair Club junction. 5. Tenneti Park entrance gate will appear on your left.,INS Kursura Submarine Museum,Tenneti Park Main Gate,Beach Road,Beachside Footpath,Yes,Yes,06:00-08:00 and 17:00-19:30,Moderate,Yes,"INS Kursura Submarine, Kali Temple, Waltair Club",https://maps.google.com/?q=Tenneti+Park+Visakhapatnam,Flat pleasant beachside walk from RK Beach northward to Tenneti Park along Beach Road with sea views throughout
WLK-002,RK Beach,VUDA Park,Siripuram,VUDA Park Main Entrance,1.1,14,1. Start at RK Beach near the Submarine Museum. 2. Walk west along Vuda Beach Road toward Siripuram. 3. Pass the Novotel Hotel on your right. 4. At Siripuram Circle turn slightly left. 5. VUDA Park entrance gate is directly on your left facing the sea.,RK Beach Submarine Museum,VUDA Park Entrance Gate,Vuda Beach Road / Siripuram Road,Coastal Road Walk,Yes,Yes,06:00-09:00 and 16:30-19:30,High,Yes,"Novotel Hotel, Pop-Up Cafe, Siripuram Circle",https://maps.google.com/?q=VUDA+Park+Visakhapatnam,Easy flat walk from RK Beach westward along the coast road to VUDA Park with sea breeze and city views
WLK-003,RK Beach,Submarine Museum,RK Beach,INS Kursura Submarine Museum Gate,0.1,2,1. Start at the RK Beach Bus Stop. 2. Walk south along Beach Road for about 80 metres. 3. The Submarine Museum entrance is directly on your right near the shore.,RK Beach Bus Stop,INS Kursura Submarine Museum,Beach Road,Footpath Along Beach,Yes,Yes,09:00-17:00,High,Yes,"RK Beach Promenade, Beach Food Stalls",https://maps.google.com/?q=INS+Kursura+Submarine+Museum+Visakhapatnam,Very short walk from the main RK Beach bus stop to the iconic Submarine Museum right on the shoreline
WLK-004,Beach Road,VUDA Park,Siripuram,VUDA Park Main Entrance,0.4,5,1. Start at the Beach Road stretch near Gluttons Garage cafe. 2. Walk west along Beach Road toward Siripuram Circle. 3. At Siripuram Circle continue straight. 4. VUDA Park gate is immediately on your left facing the sea.,Beach Road near Gluttons Garage,VUDA Park Entrance Gate,Beach Road,Seafront Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,High,Yes,"Gluttons Garage Cafe, Pop-Up Cafe, Siripuram Circle",https://maps.google.com/?q=VUDA+Park+Visakhapatnam,Short scenic walk along Beach Road to VUDA Park entrance at Siripuram with unobstructed sea views
WLK-005,Beach Road,Tenneti Park,Waltair,Tenneti Park Main Gate,1.3,16,1. Start at Beach Road near VUDA Park. 2. Walk north along Beach Road keeping sea on your right. 3. Pass Kali Temple junction on your left. 4. Continue past Waltair Club. 5. Tenneti Park entrance is on your left.,Beach Road VUDA Park end,Tenneti Park Main Gate,Beach Road,Beachside Promenade Walk,Yes,Yes,06:00-08:30 and 17:00-19:30,Moderate,Yes,"VUDA Park, Kali Temple, Waltair Club, RK Beach",https://maps.google.com/?q=Tenneti+Park+Visakhapatnam,Scenic flat beachside walk from Beach Road all the way north to Tenneti Park past key Waltair landmarks
WLK-006,Beach Road,Submarine Museum,RK Beach,INS Kursura Submarine Museum Gate,0.6,8,1. Start at the Beach Road promenade area. 2. Walk south along Beach Road toward RK Beach. 3. Pass the Novotel Hotel on your left. 4. Continue straight. 5. INS Kursura Submarine Museum is on your right on the shoreline.,Beach Road Promenade,INS Kursura Submarine Museum,Beach Road,Seafront Footpath,Yes,Yes,09:00-17:00,High,Yes,"Novotel Hotel, Pop-Up Cafe, RK Beach Promenade",https://maps.google.com/?q=INS+Kursura+Submarine+Museum+Visakhapatnam,Easy flat walk south along Beach Road to the Submarine Museum with sea views all the way
WLK-007,Rushikonda,Rishikonda Beach Park,Rushikonda,Rishikonda Beach Park Entrance,0.3,4,1. Start at Rushikonda Beach Bus Stop. 2. Walk south along the beach access road. 3. Pass the APTDC Beach Resort entrance on your right. 4. The Rishikonda Beach Park gate is straight ahead.,Rushikonda Beach Bus Stop,Rishikonda Beach Park Entrance,Rushikonda Beach Road,Beach Access Path,Yes,Yes,06:00-08:00 and 16:00-19:00,Low,Yes,"APTDC Beach Resort, Rushikonda Beach",https://maps.google.com/?q=Rushikonda+Beach+Visakhapatnam,Short quiet walk through a scenic beach road to Rishikonda Beach Park with ocean and rocky hill views
WLK-008,Rushikonda,Kailasagiri Park,Kailasagiri,Kailasagiri Ropeway Base Station,2.8,35,1. Start at Rushikonda Beach Bus Stop. 2. Walk south along the coastal highway NH-16 service road. 3. Pass Thotlakonda Buddhist site signboard on your right. 4. Continue along the winding coastal road. 5. At the Kailasagiri junction turn right. 6. Follow the uphill approach road to the ropeway base station.,Rushikonda Beach Bus Stop,Kailasagiri Ropeway Base Station,Coastal Highway Service Road / Kailasagiri Road,Coastal Hill Walk,Yes,Partial,06:00-08:30,Low,Yes,"Thotlakonda Buddhist Site signboard, Coastal Hill Views",https://maps.google.com/?q=Kailasagiri+Park+Visakhapatnam,Scenic but moderately long coastal walk from Rushikonda southward to Kailasagiri with stunning Bay of Bengal views throughout
WLK-009,Lawson's Bay,Tenneti Park,Waltair,Tenneti Park Main Gate,0.7,9,1. Start at Lawson's Bay Colony junction. 2. Walk south along Beach Road toward RK Beach. 3. Pass the Waltair Club gate on your right. 4. Continue along the footpath. 5. Tenneti Park entrance gate is on your right.,Lawson's Bay Colony Junction,Tenneti Park Main Gate,Beach Road,Beachside Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Moderate,Yes,"Waltair Club, Sea View Point, Kali Temple",https://maps.google.com/?q=Tenneti+Park+Visakhapatnam,Pleasant short beachside walk from Lawson's Bay to Tenneti Park along the famous Waltair Beach Road
WLK-010,Lawson's Bay,Kailasagiri Park,Kailasagiri,Kailasagiri Ropeway Base Station,1.8,23,1. Start at Lawson's Bay Colony Bus Stop. 2. Walk north along Beach Road toward Kailasagiri. 3. Pass the Lawson's Bay Beach viewpoint on your right. 4. Continue along the winding coastal road. 5. At the Kailasagiri road sign turn left uphill. 6. Follow the path to the ropeway base station.,Lawson's Bay Colony Bus Stop,Kailasagiri Ropeway Base Station,Beach Road / Kailasagiri Approach Road,Coastal Walk with Hill Climb,Yes,Partial,06:00-08:30 and 16:00-18:00,Low,Yes,"Lawson's Bay Beach, Coastal Viewpoints, Bay of Bengal",https://maps.google.com/?q=Kailasagiri+Park+Visakhapatnam,Scenic coastal walk from Lawson's Bay northward along Beach Road to Kailasagiri with sea views and a gentle uphill approach
WLK-011,Lawson's Bay,Submarine Museum,RK Beach,INS Kursura Submarine Museum Gate,1.5,19,1. Start at Lawson's Bay Colony junction. 2. Walk south along Beach Road. 3. Pass Waltair Club and Kali Temple on your right. 4. Continue past Tenneti Park. 5. Follow Beach Road toward RK Beach. 6. The Submarine Museum is on your right on the shore.,Lawson's Bay Colony Junction,INS Kursura Submarine Museum,Beach Road,Beachside Promenade,Yes,Yes,09:00-17:00,Moderate,Yes,"Waltair Club, Kali Temple, Tenneti Park, RK Beach",https://maps.google.com/?q=INS+Kursura+Submarine+Museum+Visakhapatnam,Long but entirely scenic beachside walk from Lawson's Bay southward through Waltair and RK Beach to the Submarine Museum
WLK-012,Siripuram,VUDA Park,Siripuram,VUDA Park Main Entrance,0.2,3,1. Start at Siripuram Circle. 2. Walk east along Siripuram Road toward the sea. 3. The VUDA Park entrance gate is directly ahead facing the beach.,Siripuram Circle,VUDA Park Entrance Gate,Siripuram Road,Short Straight Walk,Yes,Yes,06:00-20:00,High,Yes,"Siripuram Circle, AP Tourism Office",https://maps.google.com/?q=VUDA+Park+Visakhapatnam,Very short walk from Siripuram Circle straight to VUDA Park gate — ideal starting point for tourists staying near Siripuram
WLK-013,Siripuram,Tenneti Park,Waltair,Tenneti Park Main Gate,1.9,24,"1. Start at Siripuram Circle. 2. Walk east to Beach Road. 3. Turn left and walk north along Beach Road. 4. Pass RK Beach, Kali Temple, and Waltair Club. 5. Tenneti Park entrance is on your left.",Siripuram Circle,Tenneti Park Main Gate,Beach Road,Seafront Walk,Yes,Yes,06:00-09:00 and 17:00-19:30,Moderate,Yes,"VUDA Park, RK Beach, Kali Temple, Waltair Club",https://maps.google.com/?q=Tenneti+Park+Visakhapatnam,Beautiful beachside walk from Siripuram northward past RK Beach and Waltair landmarks to Tenneti Park
