destTitle,destTitle 2,destTitleType,destTitleType 2,text-overlap-extn,destDesc,destDesc 2,destDesc 3,destSubHead,destSubText,destSubHead 2,destSubText 2
Kailasagiri,|,Nature,Pilgrimage,#1 of 30 Places to Visit in Vizag,"At a distance of 9 km from Vizag Railway Station, Kailasagiri is a charming hill on the seafront at an altitude of 130 meters. Kailasagiri is one of the prime attractions in Vizag city.Spread over an area of 350 acres, it is one of the most attractive tourist spots in Vizag with an enchanting view of the sea, beaches, lush green forests and the beautiful city. The major attraction of the park is Lord Shiva Parvathi statue. At the base of Lord Shiva's statue, there is a stream that flows all the way to the foot of the hill. The hilltop also has many wonderful attractions like the Titanic viewpoint, floral clock, Shanku-Chakra Namas of Lord Venkateswara, Gliding point, Jungle Trails, Manicured lawns, Art gallery & Children Park. The floral clock on Kailasagiri is one of the biggest in India with a diameter of 10 ft. A number of amazing viewpoints are developed all around the hilltop. One more major attraction is the toy train operated on top of the hill which takes a circular .....",,,,,,
Rama Krishna Beach,,Beach,,#2 of 30 Places to Visit in Vizag,"At a distance of 4 km from Vizag Railway Station, Ramakrishna Beach (also called RK Beach) is a spectacular long beach on Bay of Bengal. This is one of the most popular beaches in Visakhapatnam and gets its name from the Ramakrishna Mission ashram across the Beach Road from the park. Ramakrishna Beach is one of the prime attractions of Vizag city.This beach occupying large parts of the seafront is a great spot to spend time leisurely. The RK Beach was jointly developed by the Municipal Corporation of Visakhapatnam (MCV) and the Visakhapatnam Urban Development Authority (VUDA). The Submarine Museum, Visakha museum, Sri Ramakrishna Mission Ashram, an aquarium, Kali Temple, statues of prominent personalities, road side restaurants and parks are added attractions of RK beach. The beach is best known for the INS Kursura Submarine Museum, which preserves the Kalvari class submarine. The war memorial called 'Victory at Sea' at the shore of the beach was constructed as homage to soldiers .....",,,,,,
Rishikonda Beach,,Beach,,#3 of 30 Places to Visit in Vizag,"At a distance of 15.5 km from Vizag Railway Station, Rishikonda Beach is a fascinating place at a close distance to the city of Vizag situated on the way to Bheemili. Rishikonda Beach is one of the prime attractions of Vizag city and also one of the top places to experince . Rishikonda Beach is among prime place to visit on a . The lovely Rishikonda Beach here with golden sands and vast stretch of water is considered the best beach in Vizag. The unspoiled beauty of the beach is its main attraction and offers a unique opportunity to relax and enjoy the golden sands, palm trees and cool breeze. The beach is a haven for watersports lovers and one can enjoy water skiing, speed boating, sunbathing, wind surfing and swimming.The Rishikonda Beach is the best site for the swimmers. The waves at the beach are peaceful compared to RK Beach.  But a sudden increase .....",Andhra Pradesh tourism,Vizag tour,,,,
Submarine Museum,,Heritage,,#4 of 30 Places to Visit in Vizag,"At a distance of 6 km from Vizag Railway Station, the Submarine Museum situated on RK Beach is a Russian built submarine of the Indian Navy (INS Kurusura) turned to a museum in 2001. Submarine Museum is one of the prime attractions of Vizag city.The Submarine Museum is the first submarine tuned to a museum in the whole of Asia and second in the World. INS Kurusura Submarine is a Soviet built I-641 class Submarine inducted into the Indian Navy on 18, December 1969 and the same was decommissioned on 28, February 2001 after 31 years of glorious service to the nation. The Submarine was brought from the sea to the sands of the Ramakrishna Beach and positioned on concrete foundation to set up as a museum. It has been established with the aim to create awareness among the public to know how the submarines work during wartime and for showcasing the life inside the submarine, etc. The tourism department of Visakhapatnam looks after the maintenance of the INS Kurusura Submarine. The .....",,,,,,
Bheemili Beach,,Beach,,#5 of 30 Places to Visit in Vizag,"At a distance of 32 km from  Railway Station, 377 km from Vijayawada, 227 km from Rajahmundry & 628 km from Hyderabad, Bheemunipatnam popularly known as Bheemili is famous for a picturesque beach. It is located at the mouth of the river Gosthani which merges with Bay of Bengal at Bheemunipatnam. The beach is known for its soft golden sand, blue water and unspoiled beach front. A concrete pathway too has been laid along the beach to hold statues of Buddha, Five Pandavas and a dinosaur. The beach is considered to be safe for swimming. It is an ideal place for nature lovers and adventurers. The beach is famous for several water sports like snorkeling, scuba diving, swimming and water-skiing. Boating facility is also available here.Bheemili beach provides a beautiful seafront to the fishing town of Bheemunipatnam, one of the oldest municipalities in India and is dotted with thatched cottages and ancient Dutch bungalows that are .....",Vizag,,,,,
Simhachalam,,Pilgrimage,,#6 of 30 Places to Visit in Vizag,"At a distance of 18 km from  Railway Station & 128 km from , 208 km from Rajahmundry, 359 from Vijayawada, 607 km from Hyderabad, Simhadri or Simhachalam is a Hindu temple located in the Visakhapatnam City suburb of Simhachalam in . This 11th century temple is dedicated to Sri Varaha Narasimha Swamy, an incarnation of Vishnu and situated on top of the Simhachalam Hills. The temple is believed to have been constructed in 1098 by the famous Chola king, Kulothunga Chola. The queen of Kalinga gifted golden armor to the statue. The Eastern Ganga King Narasimha Deva has constructed the central shrine in 1267. Krishna Deva Raya, the Vijayanagara Emperor visited this temple in the year 1516, as seen from inscriptions here. The temple activities are managed by the Pusapati Gajapatis, for last three centuries.The architectural .....",Vizag,Annavaram,,,,
Indira Gandhi Zoological Park,,Wildlife,,#7 of 30 Places to Visit in Vizag,"At a distance of 9 Kms from Vizag Railway Station, Indira Gandhi Zoological Park is stretched over 635 acres of land. The zoo houses around 80 species of birds and animals and is one of the largest Zoo Parks in . The park has different enclosures for primates, carnivores, lesser carnivores, small mammals and birds close to their natural habitats. The wildlife variety ranges from common langur, mandrills, olive baboons, wolves, jackals to Himalayan black bear, terrapins, water monitor Lizards, crocodile and hippopotamus. The zoo encloses varied collection of birds.Timings: 9 AM to 5 PM. Closed on Monday. Entry Fees Rs.5 for children, Rs.10 for adults.",Andhra Pradesh,,,,,
Kali Temple,,Pilgrimage,,#8 of 30 Places to Visit in Vizag,"At a distance of 4 Kms from Vizag Railway Station, The Kali Temple located near RK Beach is a modern architectural and main pilgrimage attacking of the city. Constructed in 1984, this shrine of the goddess of power (Shakti) is famous for its splendid architecture depicting tall pillars, arches and minarets. Adjacent to the Kali temple there is another temple dedicated to Lord Siva. The uniqueness of Siva Temple is its 'rasalinga' which is made of a single stone.Timings: Not Available",,,,,,
Sri Venkateswara Swamy Konda,,Pilgrimage,,#9 of 30 Places to Visit in Vizag,"At a distance of 5 Kms from Vizag Railway Station, Sri Venkateswara Swamy Konda on the south of the line of three hills is famous for a temple dedicated to Lord Venkateswara. It is believed to have been built by a European Captain Blackmoor in 1866, according to the Telugu inscriptions. This temple has a small steeply pyramidal entrance gopura. The port channel, the entrance of the inner harbor for ships and liners can be seen from here.Timings: Not Available",,,,,,
Tatipudi Reservoir,,Backwaters,,#10 of 30 Places to Visit in Vizag,"At a distance of 65 Kms from Vizag, 55 Kms from Araku & 632 Kms from Hyderabad, the Tatipudi Reservoir is located near Srungavarapukoda (also called S Kota) town situated between  and  in Vizianagaram district. The Reservoir was built in 1963 across River Gosthani to provide drinking water facility to the Vizag City. This location is very beautiful with lush green mountains on all the sides. Boating facility is available. Several migrant birds make this reservoir their home in the months of April/May.The Reservoir is about 10 Kms from S Kota and can be reached via Kothavooru and Krishnapuram (while coming from Vizag), or via Tennuboddavara and Tadupudi village (while coming from Araku). Private vehicles can be hired by S Kota town to reach this place.This place can be visited while going to Araku or during return to Vizag with 1-2 Hours additional effort .....",Vizag,Araku Valley,,,,
