Restaurant Name,Address,City,Category,Rating,Reviews Count,Speciality,Budget Min (INR),Budget Max (INR),Expected Budget Range
Ramayya Veg. Restaurant,"8, daba garden rd, near bank of baroda",Visakhapatnam,Andhra restaurant,3.9,2140,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Savera Restaurant And Bar,"p8f5+xfc, rama talkies rd",Visakhapatnam,Wine bar,3.5,952,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Pandit Rajasthani Restaurant,"32-1-231, bowdara rd, near railway station",Visakhapatnam,North Indian restaurant,4.1,1894,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Irctc Food Plaza,"railway station, platform no.8",Visakhapatnam,Indian restaurant,2.3,45,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Vizag Wrap'S,"sai akhil residency, akkayyapalem 80 feet rd",Visakhapatnam,Restaurant,4.3,3,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
New Deepak Punjabi Dhaba,"d.n.50, 92-35/4, sankara matam rd, near incom tax office",Visakhapatnam,Restaurant,4.7,3090,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Kloud&Lovedkitchen,"45-33-51/1, near sangam office, opp. daliraju super market",Visakhapatnam,Restaurant,4.8,23,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Burger Spot,"burger spot, 49-9-23, beside vivekananda hospital, near jaggarao bridge",Visakhapatnam,Hamburger restaurant,4.5,124,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
Rasora Restaurant,"30-15-38, beside pen school",Visakhapatnam,Restaurant,4.2,50,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Al- Hanif Biryani Point,"43-9-19/2, railway new colony rd",Visakhapatnam,Biryani restaurant,4.6,17,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Bombay Restaurant,"jail rd, opp. gvmc beside joyallukas",Visakhapatnam,Biryani restaurant,3.8,659,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Platform65 The Train Theme Restaurant - Vizag,"3rd floor, d. no 10-50-12,9-block, waltair main rd, opposite governor bungalow, beside reliance trends",Visakhapatnam,Family restaurant,4.3,14612,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Real Deepak Punjabi Dhaba,"tirumala arcade,opposite hotel meghalaya",Visakhapatnam,Punjabi restaurant,4.1,4570,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Uk Parlour,sankara matam rd,Visakhapatnam,Tiffin center,4.2,2144,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
New Maharani Parlour,"p7px+3r4, akkayyapalem 80 feet rd",Visakhapatnam,Restaurant,3.5,2791,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Dharani Restaurant,"hotel dasapalla, 28-2-48, town kotha rd",Visakhapatnam,South Indian restaurant,4.1,3576,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Masaledaar Desi Rasoi - Vizag,"1st floor, uma vinaygar building, diamond park rd, next to gupta bros book store",Visakhapatnam,North Indian restaurant,4.4,1527,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Cloud Kitchen,,Visakhapatnam,Restaurant,4.5,48,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
New Satyam Multicuisine Restaurant,"47-12-7/1, opposite sangam sarat theatre",Visakhapatnam,Biryani restaurant,4.2,547,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
AkshayaS Food Hub,"dwaraka nagar 1st lane, shreemukha complex, 1st ln",Visakhapatnam,Family restaurant,4.8,119,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Kukku Restaurant,"49-43-4-1, main rd, near akkayapalem",Visakhapatnam,Restaurant,4.2,115,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sri Sairam Parlour,opposite diamond park,Visakhapatnam,South Indian restaurant,4.0,27506,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Celebration Time,"ngos colony, akkayapalem, opposite to narayana em school",Visakhapatnam,Family restaurant,4.7,126,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Guntur Food O' Clock,"1st ln, near diamond park road, near bajaj electronics",Visakhapatnam,Biryani restaurant,4.6,173,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Makkhan Masala,"48-8-12, 1st ln",Visakhapatnam,Vegetarian restaurant,4.2,340,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Paradise Biryani | Visakhapatnam,"9-14-1, vip rd",Visakhapatnam,Biryani restaurant,4.0,13211,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Olive Restaurant,"p8g4+pq9, p8g4+pq9vvisakhapatnam",Visakhapatnam,South Indian restaurant,4.3,151,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Kinnera Restaurant,p8p3+pwc,Visakhapatnam,Biryani restaurant,3.8,336,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Barkaas Arabic Restaurant,6th ln,Visakhapatnam,Arab restaurant,4.2,3816,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
????? ?????? ??????,"p7pw+3wg, akkayyapalem 80 feet rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
A H Raza Noodles Point,6-mar,Visakhapatnam,Restaurant,4.4,28,"Indo-Chinese dishes: fried rice, noodles, manchurian & soups",100,350,Rs.100 - Rs.350 per person
B Eat Biryani Bazar,"p8m2+g47 49-43-27, akkayyapalem 80 feet rd",Visakhapatnam,Restaurant,4.2,142,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Manjeti Kumari,45-47-14/1,Visakhapatnam,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
