card-heading,slick-prev,slick-next,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,slick-dots 5,must-visit,rating-badge,light,objective,objective 2,readMoreSmall,clickable,moreTextHidden
1. Borra Caves,Previous,Next,2.0,3.0,4.0,5.0,6.0,Top Attraction,4.2,/5,69 km from city center,Cave,"With stalactite and stalagmite formations and natural enigma overflowing, Borra Caves are located at 1400 meter above sea level in the Anantagiri area of Visakhapatnam.",,
2. Submarine Museum,Previous,Next,2.0,3.0,4.0,5.0,,Top Attraction,3.4,/5,12 km from city center,Museum,"During your stroll on the RK Beach, or as you drive past the beach road, you might notice a rather elaborate collection of Submarines. Step down and stop to witness the only Submarine Museum in the entire of Asia.",,
3. Kailasagiri,Previous,Next,2.0,3.0,4.0,5.0,6.0,Top Attraction,4.1,/5,15 km from city center,Garden & Park,"Located in the scenic locales of Vizag, Kailash Giri is a beautiful hilltop park perched at a height of 360 ft. Sprawling over 100 acres of lush green land area, the park is perched on a hilltop and it offers scenic panoramic vistas of the surroundings and the beach below. The highlight of the place are the magnificent 40 feet statues of Shiva and Parvati painted in white.",(Read More),"k, Gliding Point, Floral Clock, Shiva Parvathi, Toy Train, Food Courts"
4. Rushikonda Beach,Previous,Next,2.0,3.0,4.0,5.0,6.0,Top Attraction,4.1,/5,21 km from city center,Beach,"The Rushikonda Beach is a stunningÂ shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoiled. Rushikonda Beach is thus rightly named the 'Jewel of the East Coast,' owing to its essential and inta",(Read More),ct beauty. The serene golden sands of the beach are located in the bosom of Rushikonda hill.
5. Yarada Beach,Previous,Next,2.0,3.0,4.0,5.0,6.0,,3.1,/5,6 km from city center,Beach,"Situated on the coast of the Bay of Bengal and located close to Dolphin's nose, the Yarada beach is a quiet beach to chill by the waves, sip that tender coconut water and occasionally play in the water.",,
6. Ramakrishna Beach,,,,,,,,,3.1,/5,12 km from city center,Beach,"One of the most popular beaches of Vishakapatnam, RK beach is a beach for to spend some relaxed time, enjoy strolls across the beach, sunbath and more.",,
7. Dolphin's Nose,Previous,Next,2.0,3.0,4.0,5.0,6.0,Top Attraction,3.4,/5,4 km from city center,Beach,"Very similar to a dolphins nose, this 174 m high rocky headland is situated in the south of Vizag . The nose seems to be protruding out towards the Bay of Bengal giving it a rather fascinating look.",,
8. Katiki Waterfalls,Previous,Next,2.0,3.0,4.0,,,Top Attraction,3.4,/5,70 km from city center,Waterfall,A distance of 100 steps and a trek of 2 km will take you to a place where a most enchanting sight of Katiki Waterfalls awaits for the tourists.,,
9. Matsyadarshini Aquarium,,,,,,,,,3.1,/5,11 km from city center,Aquarium,"An initiative of the Visakhapatnam Municipal Corporation, Matsyadarshini is a beautiful aquarium and houses countless species of fresh and salt water marine life captured in glass tanks.",,
10. Indira Gandhi Zoological Park,Previous,Next,2.0,3.0,4.0,5.0,6.0,,3.6,/5,16 km from city center,Zoo,"The Indira Gandhi Zoological Park is located amidst the Kambalakonda Reserve Forest in Visakhapatnam, Andhra Pradesh. Declared open to the public on 19 May 1977, the Park now offers a number of exhibits of more than 80 species of mammals, birds and reptiles. The Zoo Park has differentiated the  sections for primates, carnivores, lesser carnivores, small mammals, reptiles, ungulates and birds, all",(Read More),"caged in their natural ambiance. Situated amidst the scenic Eastern Ghats of India, the Park is quite a pictueresque one."
