destTitle,destTitle 2,destTitleType,destTitleType 2,destDesc,destDesc 2,destDesc 3,divDestType,btn 2
1. Ananthagiri,|,Hill Station,Nature & Scenic,"At a distance of 26 km from Araku, 85 km from Vizag & 660 km from Hyderabad, Anantagiri is a lovely tiny hill station between  and . It is one of the top tourist places to visit in Araku Valley and is also among the top hill station in Andhra Pradesh apart from being a popular weekend getaway from Vizag city.At an altitude of 1168 meters, Anantagiri is famous for extensive coffee plantations and numerous waterfalls. There is a view point on the way to Anantagiri on main road that offers excellent views of the deep valleys on one side and coffee plantations on the other side.Anantagiri Hills are well known for its scenic beauty and charming weather. It is a perfect gateway to spend some time amidst the lap of nature. Anantagiri is paradise for coffee lovers and nature enthusiasts. The village is surrounded by coffee estates that emit the rich aroma of coffee and the surrounding hillocks are home to cascading waterfalls that feed the lush greenery.The famous Borra Caves are very close to Anantagiri. This unexplored and peaceful environment of the hill station attracts tourists from various parts of the state. Watching the panoramic views ranging from sunrise, sunset, thick forests and mountain ranges cover the route between Vizag to Anantagiri. The Anantagiri hill resort is a perfect getaway from the hot and humid weather of Vizag in summer months.Accommodation ...",Vizag,Araku Valley,Distance from Vizag: 85 Kms,Ananthagiri Tourist Places
2. Simhachalam,,Pilgrimage,,"At a distance of 18 km from  Railway Station & 128 km from , 208 km from Rajahmundry, 359 from Vijayawada, 607 km from Hyderabad, Simhadri or Simhachalam is a Hindu temple located in the Visakhapatnam City suburb of Simhachalam in . This 11th century temple is dedicated to Sri Varaha Narasimha Swamy, an incarnation of Vishnu and situated on top of the Simhachalam Hills. The temple is believed to have been constructed in 1098 by the famous Chola king, Kulothunga Chola. The queen of Kalinga gifted golden armor to the statue. The Eastern Ganga King Narasimha Deva has constructed the central shrine in 1267. Krishna Deva Raya, the Vijayanagara Emperor visited this temple in the year 1516, as seen from inscriptions here. The temple activities are managed by the Pusapati Gajapatis, for last three centuries.The architectural of the central shrine follows Kalinga style. Facing towards west, it is a square shrine surmounted by a high tower, a portico in front with a small tower, a carved 16 pillared Natya mantapa. The shrine has inscriptions dating back to 1098 AD on its walls. The deity is always kept covered with sandal paste. The actual form of the deity is in the tribhanga posture with two hands & head of a lion, which can be viewed only during the 'Chandanotsavam' in April/May. Legend has it that the Ugra form of ...",Vizag,Annavaram,Distance from Vizag: 18 Kms,Simhachalam Tourist Places
3. Borra Caves,,Historical & Heritage,,"At a distance of 36 km from Araku, 88 km from  & 662 km from Hyderabad, Borra Caves are one million year-old limestone caves and the deepest caves in the country. Situated in Anantagiri hills of Andhra Pradesh, the caves are situated at an altitude of 1400 m and occupy an area of 2 sq.km. Borra Caves is one of the best places to visit in Araku Valley as part of . These natural caves were discovered in 1807 by William King George of the Geological Survey of India. According to locals, once a cowherd lost his cow while grazing. He soon realized that his cow had fallen down. While searching for the cow, the cowherd found these caves and came across a Linga inside it. The Linga is considered synonymous to Lord Shiva, who saved the cow. After this, a small Shiva temple was built right outside this cave.The caves are filled with fascinating stalagmite and stalactite formations of calcium deposits. The Gosthani River used to flow through the caves between the formations. The caves were created due to the flow of river over the limestone area. The pressure was exerted by the humic acid in the water on the mineral deposits and the limestone dissolved in the water. The dissolved limestone trickled down drop by drop forming different shapes in the cave. One can see different formations of the stalactites and stalagmites as Shiv-Parvathi, Mother-Child, Rushi's Beard, ...",Vizag,Vizag packages,Distance from Vizag: 88 Kms,Borra Caves Tourist Places
4. Bheemili Beach,,Beach,,"At a distance of 32 km from  Railway Station, 377 km from Vijayawada, 227 km from Rajahmundry & 628 km from Hyderabad, Bheemunipatnam popularly known as Bheemili is famous for a picturesque beach. It is located at the mouth of the river Gosthani which merges with Bay of Bengal at Bheemunipatnam. The beach is known for its soft golden sand, blue water and unspoiled beach front. A concrete pathway too has been laid along the beach to hold statues of Buddha, Five Pandavas and a dinosaur. The beach is considered to be safe for swimming. It is an ideal place for nature lovers and adventurers. The beach is famous for several water sports like snorkeling, scuba diving, swimming and water-skiing. Boating facility is also available here.Bheemili beach provides a beautiful seafront to the fishing town of Bheemunipatnam, one of the oldest municipalities in India and is dotted with thatched cottages and ancient Dutch bungalows that are a reminder of its historic past. The 17th century ruins of a fort and cemetery built by the Dutch are seen here. The cemetery named Hollanders Green has some tombs embossed with the skull and cross bones motif of sea pirates. It is located near the beach and it is one of the oldest cemeteries in India. The Bheemili port used to operate passenger vessels to Madras and Calcutta during the British rule.Bheemunipatnam was an important Buddhist center. Evidence of Buddhism dating back to the ...",Vizag,,Distance from Vizag: 32 Kms,Bheemili Beach Tourist Places
5. Rishikonda Beach,,Beach,,"At a distance of 15.5 km from Vizag Railway Station, Rishikonda Beach is a fascinating place at a close distance to the city of Vizag situated on the way to Bheemili. Rishikonda Beach is one of the prime attractions of Vizag city and also one of the top places to experince . Rishikonda Beach is among prime place to visit on a . The lovely Rishikonda Beach here with golden sands and vast stretch of water is considered the best beach in Vizag. The unspoiled beauty of the beach is its main attraction and offers a unique opportunity to relax and enjoy the golden sands, palm trees and cool breeze. The beach is a haven for watersports lovers and one can enjoy water skiing, speed boating, sunbathing, wind surfing and swimming.The Rishikonda Beach is the best site for the swimmers. The waves at the beach are peaceful compared to RK Beach.  But a sudden increase in depth can surprise the visitors and is advised to be careful while swimming at the beach. On Holi, the beach gets transformed to a hue of vibrant colours, with people splashing color and water on each other.This beach is famous for outings of love birds. There are several huts on the beach to enable visitors enjoy the view in shade. There is a 14th century temple on Rishikonda beach called Sapta Rusheswara Temple.Andhra Pradesh Tourism has accommodation facility in the form of ...",Andhra Pradesh tourism,Vizag tour,Distance from Vizag: 15 Kms,Rishikonda Beach Tourist Places
6. Katiki / Katika Waterfalls,,Waterfall,,"At a distance of 7 km from Borra Caves, 39 km from Araku, 90 km from Vizag & 665 km from Hyderabad, Katiki or Katika Waterfall is magnificent waterfall situated near Borra Caves in Visakhapatnam district of Andhra Pradesh. It is one of the best waterfalls in Araku and also among the top places to visit in Araku.The name of the falls is derived from the name of the village nearby. Katiki waterfall is formed by the Gosthani River and it cascading down from a height of 100+ feet. The pond at the bottom of the waterfall is an excellent place for taking a bath after a tough trek to the place. It has to be reached by 20-30 minutes trek (one way) through lush forest and upwards to mountain top from the nearest motorable road. Cooking and camping are also permitted at this place. This is also a good place for trekking.To reach Katiki falls from Araku, you have to take Borra Caves road at Mulyaguda junction between Araku and Visakhapatnam (around 30 km from Araku, after Anantagiri). Cross the Borra Caves railway crossing on the same road. Nearly 2 km from the railway crossing, you have to take left turn where the straight road takes to Borra Caves (caves are 2 km from here). After 300 meters on the same road, take a left turn and go for about 4-5 km. The road ends at the railway track near Tunnel #44. From here, you have to cross the railway track and go straight trekking the mountain. The falls are nearly 20-30 minutes trek from here and the path is narrow and slippery. ...",,,Distance from Vizag: 97 Kms,Katiki / Katika Waterfalls Tourist Places
7. Tatipudi Reservoir,,Lake & Backwater,,"At a distance of 65 Kms from Vizag, 55 Kms from Araku & 632 Kms from Hyderabad, the Tatipudi Reservoir is located near Srungavarapukoda (also called S Kota) town situated between  and  in Vizianagaram district. The Reservoir was built in 1963 across River Gosthani to provide drinking water facility to the Vizag City. This location is very beautiful with lush green mountains on all the sides. Boating facility is available. Several migrant birds make this reservoir their home in the months of April/May.The Reservoir is about 10 Kms from S Kota and can be reached via Kothavooru and Krishnapuram (while coming from Vizag), or via Tennuboddavara and Tadupudi village (while coming from Araku). Private vehicles can be hired by S Kota town to reach this place.This place can be visited while going to Araku or during return to Vizag with 1-2 Hours additional effort.",Vizag,Araku Valley,Distance from Vizag: 65 Kms,Tatipudi Reservoir Tourist Places
8. Thotlakonda,,Historical & Heritage,,"At a distance of 22 Kms from  Railway Station & 620 Kms from Hyderabad, the Thotlakonda Buddhist Complex is situated on a hilltop in Chepala Uppadu village on Bheemili beach road (after Rishikonda). Also known as 'the Hill of Eagles', the complex has a number of stupas, Chaityas, Viharas, a congregation hall and a refectory belonging to the Hinayana school, mostly excavated during1982-92. These remains are classifieds as religious, secular and civil. Excavations at Thotlakonda comprise pottery, beads, bangle pieces, tiles, stuccos, iron objects, sculptural remains, moulded bricks, inscriptions, coins, etc.",Vizag,,Distance from Vizag: 22 Kms,Thotlakonda Tourist Places
9. Bavikonda,,Historical & Heritage,,"At a distance of 20 Kms from  Railway Station & 618 Kms from Hyderabad, Bavikonda is historical Buddhist site near Kapula Uppadu village in Bheemili beach road (after Rishikonda). The hill acquired the name Bavikonda due to the existence of wells on the hill to collect rain water for drinking purpose. The artifacts recovered here include Roman coins and satavahana coins apart from pottery dating back to 3rd century BC and 2nd Century AD. Excavations on the hill-top brought to light an extensive Buddhist establishment consisting of a Mahachaitya, stupas, chaityagrihas, a congregation hall, platforms, viharas, kitchen-cum-store complex, pottery, relic caskets, tiles, stuccos, iron objects, moulded bricks, coins etc",Vizag,,Distance from Vizag: 20 Kms,Bavikonda Tourist Places
10. Tyda Nature Camp,|,Adventure / Trekking,Nature & Scenic,"At a distance of 40 Kms from Araku, 70 Kms from Vizag & 632 Kms from Hyderabad, Tyda is a small tribal village nestling in the wooded hills of the Eastern Ghats between  and . Also known as Jungle Bells, the nature camp has facilities for rock climbing, trekking, bird watching and target shooting with bow & arrows. This eco-tourism destination is home for a variety of animals and birds. With the help of naturalists or guides in the camp, one can learn the language of the jungle, identification of calls, marks etc. There are log huts and tents set in tribal environment for tourists.Tariff: Rs. 800 to Rs 1800. Visit - http://www.tourisminap.com/accomodation/index.phpTrains between Vizag and Araku stop at Tyda. Tatipudi Reservoir is about 25 Kms from Tyda, which is connected by several buses.",Vizag,Araku Valley,Distance from Vizag: 70 Kms,Tyda Nature Camp Tourist Places
