card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,card-body,hotel-featured-data,price,text-muted,clickable
1. Sreeparthi Hotel,Previous,Next,1.0,2.0,3.0,4.0,5.0,0 m from Prasanthi Nilayam,# 1  hotel in  Puttaparthi,9.2,(65 reviews),"Facilities:
     Wifi, Spa, Garden, Food, Shuttle Service",Hotel with 3 room options,"₹2,700",onwards,
2. Sai Maa Hotel & Residency,Previous,Next,1.0,2.0,3.0,4.0,5.0,500 m from Prasanthi Nilayam,# 2  hotel in  Puttaparthi,8.7,(224 reviews),"Facilities:
     Wifi, Concierge Service, Food, Shuttle Service",Hotel with 8 room options,"₹4,100",onwards,
3. Sai Towers,Previous,Next,1.0,2.0,3.0,4.0,5.0,300 m from Penukonda Station,# 3  hotel in  Puttaparthi,8.4,(421 reviews),"Facilities:
     Wifi, Food",Hotel with 6 room options,"₹2,750",onwards,
4. Sai Maa Hotel and Residency,Previous,Next,1.0,2.0,3.0,4.0,5.0,500 m from Prasanthi Nilayam,# 4  hotel in  Puttaparthi,8.4,(60 reviews),,,"₹4,176",onwards,
5. Shanthi Home Stay,Previous,Next,1.0,2.0,3.0,4.0,5.0,300 m from Penukonda Station,# 5  hotel in  Puttaparthi,9.4,(34 reviews),"Facilities:
     Wifi, Bar, Pets Allowed, Concierge Service, Food",Apartment with only 1 room option,"₹1,800",onwards,
6. Sai Pavilion Hotel,Previous,Next,1.0,2.0,3.0,4.0,5.0,300 m from Penukonda Station,# 6  hotel in  Puttaparthi,8.2,(78 reviews),,,"₹1,732",onwards,
7. Aum Hotel,,,,,,,,300 m from Penukonda Station,# 7  hotel in  Puttaparthi,7.3,(57 reviews),,,"₹1,378",onwards,
8. Sai Pavilion,,,,,,,,0 m from Penukonda Station,# 8  hotel in  Puttaparthi,7.3,(51 reviews),"Facilities:
     Bar, Wifi, Concierge Service, Food, Shuttle Service",Hotel with 4 room options,"₹2,300",onwards,
9. Aum Hotel,,,,,,,,200 m from Penukonda Station,# 9  hotel in  Puttaparthi,6.9,(66 reviews),"Facilities:
     Wifi, Bar, Spa, Food, Shuttle Service",Inn with 3 room options,"₹1,800",onwards,
10. Sri Sai Sadan,,,,,,,,300 m from Penukonda Station,# 10  hotel in  Puttaparthi,7.6,(23 reviews),,,"₹3,713",onwards,
11. Hotel Sai Palace Inn,,,,,,,,3.6 kms from Prasanthi Nilayam,# 11  hotel in  Puttaparthi,8.9,(16 reviews),"Facilities:
     Wifi, Food",Hotel with 4 room options,"₹1,800",onwards,
12. Om Stay,,,,,,,,600 m from Penukonda Station,# 12  hotel in  Puttaparthi,9.3,(12 reviews),"Facilities:
     Pets Allowed, Food, Shuttle Service",Apartment with only 1 room option,₹950,onwards,
13. Casa de Sanchi,,,,,,,,300 m from Penukonda Station,# 13  hotel in  Puttaparthi,6.3,(11 reviews),"Facilities:
     Bar, Shuttle Service",Apartment with only 1 room option,"₹1,069",onwards,
14. Sathya Sai Nivas,,,,,,,,1.3 kms from Prasanthi Nilayam,# 14  hotel in  Puttaparthi,9.4,(8 reviews),"Facilities:
     Wifi, Pets Allowed, Shuttle Service",Holiday home with only 1 room option,"₹1,235",onwards,
