card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,rating-badge,light,objective,objective 2,readMoreSmall
1. Nagarjuna Sagar Dam and Ethipothala Falls,Previous,Next,1.0,2.0,3.0,4.0,3.5,/5,113 km from city center,Waterfall,"An exquisite sight of a massive irrigation project constructed over River Krishna, Nagarjuna Sagar Dam is situated around 100 miles from the city of Guntur."
2. Kondaveedu,Previous,Next,1.0,2.0,3.0,,3.1,/5,20 km from city center,Historical Site,Kondaveedu is a place lying about 17 miles from Guntur city adorned with one of the most popular tourist attractions of the region. It houses an ancient fort belonging to 14th century AD built by Reddy kings which comprises of 21 magnificent structures.
3. Uppalapadu Nature Conservation,Previous,Next,1.0,2.0,3.0,4.0,3.1,/5,8 km from city center,Bird Sanctuary,"A place to admire large number of endangered species of Birds, Uppalapadu Nature Conservation is situated in the southern side of the city."
4. Kotappakonda Trikutaparvattam,Previous,Next,1.0,2.0,3.0,4.0,3.1,/5,47 km from city center,Hills & Valleys,"Originally known as Kondakavuru, this place is famously known as Kotappakonda or Trikutaparvattam meaning three peaked hill which actually lies nearby."
5. Mangalagiri,,,,,,,3.6,/5,20 km from city center,Temple,"Mangalagiri, lying 13 miles northeast of Guntur city is mainly renowned for its famous temple of Lord Lakshmi Narasimha Swamy. At the temple, the devotees worship the lord by offering jiggery water."
"6. Downtown, Guntur",,,,,,,3.1,/5,2 km from city center,Garden & Park,"The city of Guntur is comprised of its own downtown area, midtown and residential areas. This place is packed with myriad of tourist attractions which include Center of Brodipet, Arundelpet, Jinnah Tower Center, Naaz Center, Brindavan Gardens, Old Guntur and Inner and Outer Ringroads."
7. Amaravathi,,,,,,,3.1,/5,31 km from city center,Buddhist Temple,A place situated about 16 miles from Guntur is packed with a famous holy shrine and site of great historic importance. The place itself is named after a renowned temple lying in the area namely Amareswara Swamy which inhabits Swayambhu Linga.
8. Viswa Nagar,,,,,,,3.1,/5,2 km from city center,Monument,"Situated in the south-west part of the city, Viswa Nagar can be easily approached via a National Highway 5 i.e. GNT-Chennai Expressway. The place is renowned for Universal Integration Pillar and Viswayogi Viswamji."
9. Krishna Barrage,,,,,,,3.1,/5,29 km from city center,Landmark,Krishna Barrage or Prakasam Barrage lies 18 miles from the city of Guntur. It is constructed over Krishna River all the way connecting Guntur with Krishna District.
10. Pongal,,,,,,,3.1,/5,41 km from city center,Fairs & Festivals,"Mid-January is considered as an important time in the Tamil calendar. The harvest festival, Pongal, typically falls on the 14th or the 15th of January and is celebrated in an exemplary mode of 'Tamil Culture'. Guntur has a lavish celebration of Pongal that anybody interested in observing local cultures should not miss."
11. Suryalanka Beach,,,,,,,,,52 km from city center,Beach,"Suryalanka Beach is a lesser-known gem situated near Bapatla near Guntur. The beach is famous for the sweeping views of the sun, sea and sand. It is also ideal for swimming."
12. Bhattiprolu,,,,,,,,,43 km from city center,Village,"Located in the Guntur district in the state of Andhra Pradesh, Bhattiprolu is a small village which is mainly known for its Buddhist stupa that is a centrally protected monument of national importance."
13. Amaravati Stupa,,,,,,,,,31 km from city center,Monument,"Amaravati Stupa is a heritage monument, and ancient Buddhist stupa located in the Amaravathi. The memorial is currently under the protection of the Archaeological Survey of India. Popularly known as the Mahachaitya, Deepaladinne or the Great Stupa of Amaravati, this is among the largest stupas in India and one of the most visited sites in Amaravati."
