Cafe Name,Category,Rating,Reviews Count,Speciality,Budget Min (INR),Budget Max (INR),Expected Budget Range
New Bharat Cafe,Cafe,4.3,28,"Cafe beverages, snacks & casual dining",80,300,Rs.80 - Rs.300
Cafe Club,Cafe,4.7,10,"Specialty beverages, snacks & cafe ambience",100,400,Rs.100 - Rs.400
ARTCOM | 2D Themed | Cafe and Rage Room,Cafe,4.6,442,"Themed cafe experience, rage room & beverages",500,1500,Rs.500 - Rs.1500
Ansoma Cafe,Cafe,4.8,49,"Specialty beverages, snacks & cafe ambience",100,400,Rs.100 - Rs.400
Pop Up Cafe & Restaurant,Coffee shop,4.6,425,"Artisan coffee, specialty brews & cafe snacks",100,350,Rs.100 - Rs.350
Cafooze restro cafe,Coffee shop,4.3,714,"Coffee, tea, quick bites & light snacks",60,200,Rs.60 - Rs.200
Café Coffee Day,Cafe,4.0,2452,"Espresso, cappuccino & cafe chain beverages",100,350,Rs.100 - Rs.350
Caffeine Street,Cafe,4.5,76,"Specialty beverages, snacks & cafe ambience",100,400,Rs.100 - Rs.400
D-Cravings,Cafe,5.0,14,"Specialty beverages, snacks & cafe ambience",100,400,Rs.100 - Rs.400
Spicy Bites And The Thick Shake Bar,Cafe,4.9,11,"Thick milkshakes, fresh smoothies & desserts",80,200,Rs.80 - Rs.200
Coffee Beans Cafe,Coffee shop,5.0,9,"Artisan coffee, specialty brews & cafe snacks",100,350,Rs.100 - Rs.350
ARAKU VALLEY COFFEE,Coffee shop,5.0,20,Araku valley specialty coffee & tribal blends,80,200,Rs.80 - Rs.200
Drunken Monkey,Cafe,4.0,1978,"Fresh fruit bowls, smoothies & healthy snacks",80,200,Rs.80 - Rs.200
Chennapatnam Filter Coffee | DWARAKANAGAR,Coffee shop,4.9,10,South Indian filter coffee & traditional chai,20,80,Rs.20 - Rs.80
Kumbakonam Degree Coffee,Coffee shop,4.4,21,South Indian filter coffee & traditional chai,20,80,Rs.20 - Rs.80
Chennapatnam filter coffee,Coffee shop,4.5,12,South Indian filter coffee & traditional chai,20,80,Rs.20 - Rs.80
CAFE SAHOO,Continental restaurant,4.7,3,"Continental dishes, wood-fired items & mocktails",200,700,Rs.200 - Rs.700
Gravity Roof Top,Fast food restaurant,4.8,10,"Burgers, wraps, fried snacks & combo meals",80,250,Rs.80 - Rs.250
The 7 Cafè,Coffee shop,4.3,42,"Coffee, tea, quick bites & light snacks",60,200,Rs.60 - Rs.200
