"route_id,source_area,hospital_name,hospital_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,emergency_friendly,tourist_friendly,description"
"VZG00001,Gajuwaka,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,City Bus,""Gajuwaka Junction, Gajuwaka Market, Hospital Zone"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 28 from Gajuwaka to 4S Multispeciality Hospital in Gajuwaka. Passes through Gajuwaka, Major Junction, Gajuwaka. Approx 1.5 km, 9 mins."""
"VZG00002,Kommadi,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""Kommadi, NAD Junction, Kancharapalem, Gajuwaka"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from Kommadi to 4S Multispeciality Hospital in Gajuwaka. Passes through Kommadi, Major Junction, Gajuwaka. Approx 12.4 km, 42 mins."""
"VZG00003,Madhurawada,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""Madhurawada, NAD Junction, Kancharapalem, Gajuwaka"",11.8,40 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from Madhurawada to 4S Multispeciality Hospital in Gajuwaka. Passes through Madhurawada, Major Junction, Gajuwaka. Approx 11.8 km, 40 mins."""
"VZG00004,PM Palem,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""PM Palem, Madhurawada, Kancharapalem, Gajuwaka"",11.0,38 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from PM Palem to 4S Multispeciality Hospital in Gajuwaka. Passes through PM Palem, Major Junction, Gajuwaka. Approx 11.0 km, 38 mins."""
"VZG00005,MVP Colony,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""MVP Colony, Seethammadhara, Kancharapalem, Gajuwaka"",40.4,126 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from MVP Colony to 4S Multispeciality Hospital in Gajuwaka. Passes through MVP Colony, Major Junction, Gajuwaka. Approx 40.4 km, 126 mins."""
"VZG00006,Siripuram,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Siripuram, Jagadamba, Kancharapalem, Gajuwaka"",39.7,124 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Siripuram to 4S Multispeciality Hospital in Gajuwaka. Passes through Siripuram, Major Junction, Gajuwaka. Approx 39.7 km, 124 mins."""
"VZG00007,Dwaraka Nagar,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Dwaraka Nagar, Jagadamba, Kancharapalem, Gajuwaka"",41.7,130 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Dwaraka Nagar to 4S Multispeciality Hospital in Gajuwaka. Passes through Dwaraka Nagar, Major Junction, Gajuwaka. Approx 41.7 km, 130 mins."""
"VZG00008,Maddilapalem,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Maddilapalem, Seethammadhara, Kancharapalem, Gajuwaka"",44.5,138 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Maddilapalem to 4S Multispeciality Hospital in Gajuwaka. Passes through Maddilapalem, Major Junction, Gajuwaka. Approx 44.5 km, 138 mins."""
"VZG00009,NAD Junction,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,39,Semi-Express,""NAD Junction, Dondaparthy, Kancharapalem, Gajuwaka"",17.7,58 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 39 from NAD Junction to 4S Multispeciality Hospital in Gajuwaka. Passes through NAD Junction, Major Junction, Gajuwaka. Approx 17.7 km, 58 mins."""
"VZG00010,Seethammadhara,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Seethammadhara, Dondaparthy, Kancharapalem, Gajuwaka"",48.7,151 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Seethammadhara to 4S Multispeciality Hospital in Gajuwaka. Passes through Seethammadhara, Major Junction, Gajuwaka. Approx 48.7 km, 151 mins."""
"VZG00011,Jagadamba,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Jagadamba, Siripuram, Kancharapalem, Gajuwaka"",45.4,141 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Jagadamba to 4S Multispeciality Hospital in Gajuwaka. Passes through Jagadamba, Major Junction, Gajuwaka. Approx 45.4 km, 141 mins."""
