name,aliases,rating,street,city,state,country,categories,google_maps_url,image_url,speciality,expected_budget,best_time_to_visit,opening_hours,water_sports_available,parking_available,food_available,family_friendly,safety_level,crowd_level,nearest_bus_stop,nearest_railway_station
Ramakrishna Beach,RK Beach,4.5,Beach Road,Visakhapatnam,Andhra Pradesh,India,"Tourist Beach, Family Beach, Urban Beach",https://maps.google.com/?q=Ramakrishna+Beach+Visakhapatnam,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQNPW-tQ0gan6CdvMCurPqPG9SQ0rzaAxqW0zh0jEVg76qSvE_z-ogGpo9_Pse3,Best Sunrise Views,300-800 per person,October to February,Open 24 Hours,Yes,Yes,Yes,Yes,High,High,RK Beach Bus Stop,Visakhapatnam Railway Station
Rushikonda Beach,Rushikonda,4.5,Rushikonda Road,Visakhapatnam,Andhra Pradesh,India,"Tourist Beach, Water Sports Beach",https://maps.google.com/?q=Rushikonda+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSNlu32gUYQkvp5nU4YOHYHl3YT8vMnmTQ7ylWbH3DADiYNsf5z0dhcptETdeBy,Water Sports Paradise,500-2000 per person,October to March,6:00 AM - 8:00 PM,Yes,Yes,Yes,Yes,High,High,Rushikonda Bus Stop,Visakhapatnam Railway Station
Yarada Beach,nan,4.6,Yarada Village,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Tourist Beach",https://maps.google.com/?q=Yarada+Beach+Visakhapatnam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZJm3dq05V7TB1sF0iiBnJbBFlWBXiqfPw5LrsWfBg3o64TszuwXH_wrFI50Cz,Hill and Sea View Combination,200-600 per person,November to February,5:00 AM - 7:00 PM,No,Yes,Yes,Yes,Medium,Medium,Yarada Junction Bus Stop,Visakhapatnam Railway Station
Bheemunipatnam Beach,Bheemili Beach,4.4,Bheemunipatnam,Visakhapatnam,Andhra Pradesh,India,"Historic Beach, Tourist Beach",https://maps.google.com/?q=Bheemunipatnam+Beach,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRwjHecTQUv46droegGM4VjwC8v-ayOPcNXp0XHQySprYHXtP6kmM30w0GNSRME,Best Sunset Spot,300-800 per person,October to February,Open 24 Hours,No,Yes,Yes,Yes,High,Medium,Bheemunipatnam RTC Complex,Visakhapatnam Railway Station
Lawson's Bay Beach,Lawsons Bay,4.4,Pedda Waltair,Visakhapatnam,Andhra Pradesh,India,"Calm Beach, Local Beach",https://maps.google.com/?q=Lawsons+Bay+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRPIwHAXdzUSU6_cl2996LqpsvsdBWUq4kp0hgP_eEOnEKLpJg1FtjXYFySN0-1,Peaceful Less Crowded Beach,200-500 per person,October to March,Open 24 Hours,No,Yes,Yes,Yes,Medium,Low,Lawsons Bay Colony Bus Stop,Visakhapatnam Railway Station
Sagar Nagar Beach,nan,4.3,Sagar Nagar,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Local Beach",https://maps.google.com/?q=Sagar+Nagar+Beach+Visakhapatnam,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTIxWeVMzdloBgNHcNgoXIzntJVkkT7BgqOVymf9e9ZcYivYJXVc3ScLnoJIzBz,Scenic Coastal Views,150-400 per person,October to February,Open 24 Hours,No,Yes,Yes,Yes,Medium,Medium,Sagar Nagar Bus Stop,Visakhapatnam Railway Station
Gangavaram Beach,nan,4.4,Gangavaram,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Photography Spot",https://maps.google.com/?q=Gangavaram+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSgztb6gv2oW6hrfiPuvdQaQhk-0ikC4Aa-TorLYvfII7tQbp71zCAoF5olnIbI,Photography Spot,200-500 per person,November to February,6:00 AM - 6:00 PM,No,Yes,No,Yes,Medium,Low,Gangavaram Bus Stop,Visakhapatnam Railway Station
Appikonda Beach,nan,4.3,Appikonda,Visakhapatnam,Andhra Pradesh,India,"Village Beach, Temple Beach",https://maps.google.com/?q=Appikonda+Beach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmoJVaFauUWvJspmMZPTcKwah0xY5LWSfSLjVchG3-TXPB6-a6eHtkakpT8CpT,Peaceful Less Crowded Beach,150-400 per person,October to February,5:00 AM - 7:00 PM,No,No,No,Yes,Low,Low,Bheemunipatnam RTC Complex,Visakhapatnam Railway Station
Mangamaripeta Beach,nan,4.2,Mangamaripeta,Visakhapatnam,Andhra Pradesh,India,"Local Beach, Coastal Area",https://maps.google.com/?q=Mangamaripeta+Beach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpkwSLpIiRK1Q5ZzAnvJKCExwiOeS0WTC3DLI1F2VM92vXE35JlE1dTFDPU4WP,Scenic Coastal Views,150-400 per person,October to February,Open 24 Hours,No,No,No,Yes,Low,Low,Bheemunipatnam RTC Complex,Visakhapatnam Railway Station
Jodugullapalem Beach,nan,4.4,Jodugullapalem,Visakhapatnam,Andhra Pradesh,India,"Photography Beach, Local Beach",https://maps.google.com/?q=Jodugullapalem+Beach,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSQBuUCbo9Sdz2Ua1Rx9XuAQmDfCvPvZj9L3o7RC3USkNBRWw933lFQn_qvDjlg,Photography Spot,150-400 per person,November to February,5:00 AM - 7:00 PM,No,No,No,Yes,Low,Low,Bheemunipatnam RTC Complex,Visakhapatnam Railway Station
