trip_id,source_area,museum_name,museum_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
1,Gajuwaka,VMRDA INS Kursura Submarine Museum,RK Beach,22.8,1h 2min,Rs.197,Rs.304,Rs.402,Moderate,Cab,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Gajuwaka to VMRDA INS Kursura Submarine Museum in RK Beach. ~22.8km. Moderate traffic expected. Best option: Cab.
2,Kommadi,VMRDA INS Kursura Submarine Museum,RK Beach,11.2,22 min,Rs.105,Rs.164,Rs.228,Low,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Kommadi to VMRDA INS Kursura Submarine Museum in RK Beach. ~11.2km. Low traffic expected. Best option: Auto.
3,Madhurawada,VMRDA INS Kursura Submarine Museum,RK Beach,10.0,40 min,Rs.95,Rs.150,Rs.210,High,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Madhurawada to VMRDA INS Kursura Submarine Museum in RK Beach. ~10.0km. High traffic expected. Best option: Auto.
4,PM Palem,VMRDA INS Kursura Submarine Museum,RK Beach,14.0,56 min,Rs.127,Rs.198,Rs.270,High,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from PM Palem to VMRDA INS Kursura Submarine Museum in RK Beach. ~14.0km. High traffic expected. Best option: Auto.
5,MVP Colony,VMRDA INS Kursura Submarine Museum,RK Beach,4.9,20 min,Rs.54,Rs.89,Rs.134,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from MVP Colony to VMRDA INS Kursura Submarine Museum in RK Beach. ~4.9km. High traffic expected. Best option: Auto.
6,Siripuram,VMRDA INS Kursura Submarine Museum,RK Beach,5.5,15 min,Rs.59,Rs.96,Rs.142,Moderate,Rapido Bike,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Siripuram to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.5km. Moderate traffic expected. Best option: Rapido Bike.
7,Dwaraka Nagar,VMRDA INS Kursura Submarine Museum,RK Beach,3.1,8 min,Rs.40,Rs.67,Rs.106,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Dwaraka Nagar to VMRDA INS Kursura Submarine Museum in RK Beach. ~3.1km. Moderate traffic expected. Best option: Rapido Bike.
8,Maddilapalem,VMRDA INS Kursura Submarine Museum,RK Beach,5.0,10 min,Rs.55,Rs.90,Rs.135,Low,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Maddilapalem to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.0km. Low traffic expected. Best option: Rapido Bike.
9,NAD Junction,VMRDA INS Kursura Submarine Museum,RK Beach,7.0,14 min,Rs.71,Rs.114,Rs.165,Low,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from NAD Junction to VMRDA INS Kursura Submarine Museum in RK Beach. ~7.0km. Low traffic expected. Best option: Rapido Bike.
10,Seethammadhara,VMRDA INS Kursura Submarine Museum,RK Beach,5.1,14 min,Rs.56,Rs.91,Rs.136,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Seethammadhara to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.1km. Moderate traffic expected. Best option: Rapido Bike.
11,Jagadamba,VMRDA INS Kursura Submarine Museum,RK Beach,3.4,9 min,Rs.42,Rs.71,Rs.111,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Jagadamba to VMRDA INS Kursura Submarine Museum in RK Beach. ~3.4km. Moderate traffic expected. Best option: Rapido Bike.
12,Asilmetta,VMRDA INS Kursura Submarine Museum,RK Beach,5.7,23 min,Rs.61,Rs.98,Rs.146,High,Auto,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Asilmetta to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.7km. High traffic expected. Best option: Auto.
13,Railway Station,VMRDA INS Kursura Submarine Museum,RK Beach,4.0,16 min,Rs.47,Rs.78,Rs.120,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Railway Station to VMRDA INS Kursura Submarine Museum in RK Beach. ~4.0km. High traffic expected. Best option: Rapido Bike.
14,RTC Complex,VMRDA INS Kursura Submarine Museum,RK Beach,4.0,24 min,Rs.47,Rs.78,Rs.120,Very High,Rapido Bike,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from RTC Complex to VMRDA INS Kursura Submarine Museum in RK Beach. ~4.0km. Very High traffic expected. Best option: Rapido Bike.
15,Airport,VMRDA INS Kursura Submarine Museum,RK Beach,18.8,38 min,Rs.165,Rs.256,Rs.342,Low,Auto,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Airport to VMRDA INS Kursura Submarine Museum in RK Beach. ~18.8km. Low traffic expected. Best option: Auto.
16,Pendurthi,VMRDA INS Kursura Submarine Museum,RK Beach,14.8,30 min,Rs.133,Rs.208,Rs.282,Low,Auto,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Pendurthi to VMRDA INS Kursura Submarine Museum in RK Beach. ~14.8km. Low traffic expected. Best option: Auto.
17,Gopalapatnam,VMRDA INS Kursura Submarine Museum,RK Beach,24.8,50 min,Rs.213,Rs.328,Rs.432,Low,Cab,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Gopalapatnam to VMRDA INS Kursura Submarine Museum in RK Beach. ~24.8km. Low traffic expected. Best option: Cab.
18,Kurmannapalem,VMRDA INS Kursura Submarine Museum,RK Beach,22.2,44 min,Rs.193,Rs.296,Rs.393,Low,Cab,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Kurmannapalem to VMRDA INS Kursura Submarine Museum in RK Beach. ~22.2km. Low traffic expected. Best option: Cab.
19,Auto Nagar,VMRDA INS Kursura Submarine Museum,RK Beach,15.0,1h 0min,Rs.135,Rs.210,Rs.285,High,Auto,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Auto Nagar to VMRDA INS Kursura Submarine Museum in RK Beach. ~15.0km. High traffic expected. Best option: Auto.
20,Steel Plant,VMRDA INS Kursura Submarine Museum,RK Beach,14.9,30 min,Rs.134,Rs.209,Rs.284,Low,Auto,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Steel Plant to VMRDA INS Kursura Submarine Museum in RK Beach. ~14.9km. Low traffic expected. Best option: Auto.
21,Scindia,VMRDA INS Kursura Submarine Museum,RK Beach,19.9,54 min,Rs.174,Rs.269,Rs.358,Moderate,Auto,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Scindia to VMRDA INS Kursura Submarine Museum in RK Beach. ~19.9km. Moderate traffic expected. Best option: Auto.
22,One Town,VMRDA INS Kursura Submarine Museum,RK Beach,5.2,14 min,Rs.57,Rs.92,Rs.138,Moderate,Rapido Bike,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from One Town to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.2km. Moderate traffic expected. Best option: Rapido Bike.
23,Poorna Market,VMRDA INS Kursura Submarine Museum,RK Beach,5.8,23 min,Rs.61,Rs.100,Rs.147,High,Auto,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Poorna Market to VMRDA INS Kursura Submarine Museum in RK Beach. ~5.8km. High traffic expected. Best option: Auto.
24,RK Beach,VMRDA INS Kursura Submarine Museum,RK Beach,2.9,8 min,Rs.38,Rs.65,Rs.104,Moderate,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from RK Beach to VMRDA INS Kursura Submarine Museum in RK Beach. ~2.9km. Moderate traffic expected. Best option: Rapido Bike.
25,Rushikonda,VMRDA INS Kursura Submarine Museum,RK Beach,2.7,5 min,Rs.37,Rs.62,Rs.100,Low,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Rushikonda to VMRDA INS Kursura Submarine Museum in RK Beach. ~2.7km. Low traffic expected. Best option: Rapido Bike.
26,Lawson's Bay,VMRDA INS Kursura Submarine Museum,RK Beach,2.5,5 min,Rs.35,Rs.60,Rs.98,Low,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Lawson's Bay to VMRDA INS Kursura Submarine Museum in RK Beach. ~2.5km. Low traffic expected. Best option: Rapido Bike.
27,Hanumanthuwaka,VMRDA INS Kursura Submarine Museum,RK Beach,13.8,38 min,Rs.125,Rs.196,Rs.267,Moderate,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Hanumanthuwaka to VMRDA INS Kursura Submarine Museum in RK Beach. ~13.8km. Moderate traffic expected. Best option: Auto.
28,Arilova,VMRDA INS Kursura Submarine Museum,RK Beach,13.3,27 min,Rs.121,Rs.190,Rs.260,Low,Auto,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Arilova to VMRDA INS Kursura Submarine Museum in RK Beach. ~13.3km. Low traffic expected. Best option: Auto.
29,Beach Road,VMRDA INS Kursura Submarine Museum,RK Beach,2.5,7 min,Rs.35,Rs.60,Rs.98,Moderate,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Beach Road to VMRDA INS Kursura Submarine Museum in RK Beach. ~2.5km. Moderate traffic expected. Best option: Rapido Bike.
30,Kailasagiri,VMRDA INS Kursura Submarine Museum,RK Beach,2.9,8 min,Rs.38,Rs.65,Rs.104,Moderate,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,RK Beach Promenade; Kursura Submarine; INS Kurusura Memorial,Travel from Kailasagiri to VMRDA INS Kursura Submarine Museum in RK Beach. ~2.9km. Moderate traffic expected. Best option: Rapido Bike.
31,Gajuwaka,TU 142 Aircraft Museum,Beach Road,19.5,53 min,Rs.171,Rs.264,Rs.352,Moderate,Auto,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Gajuwaka to TU 142 Aircraft Museum in Beach Road. ~19.5km. Moderate traffic expected. Best option: Auto.
32,Kommadi,TU 142 Aircraft Museum,Beach Road,12.2,24 min,Rs.113,Rs.176,Rs.243,Low,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Kommadi to TU 142 Aircraft Museum in Beach Road. ~12.2km. Low traffic expected. Best option: Auto.
33,Madhurawada,TU 142 Aircraft Museum,Beach Road,10.1,20 min,Rs.96,Rs.151,Rs.212,Low,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Madhurawada to TU 142 Aircraft Museum in Beach Road. ~10.1km. Low traffic expected. Best option: Auto.
34,PM Palem,TU 142 Aircraft Museum,Beach Road,17.1,1h 8min,Rs.152,Rs.235,Rs.316,High,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from PM Palem to TU 142 Aircraft Museum in Beach Road. ~17.1km. High traffic expected. Best option: Auto.
35,MVP Colony,TU 142 Aircraft Museum,Beach Road,4.3,17 min,Rs.49,Rs.82,Rs.124,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from MVP Colony to TU 142 Aircraft Museum in Beach Road. ~4.3km. High traffic expected. Best option: Auto.
36,Siripuram,TU 142 Aircraft Museum,Beach Road,6.5,26 min,Rs.67,Rs.108,Rs.158,High,Auto,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Siripuram to TU 142 Aircraft Museum in Beach Road. ~6.5km. High traffic expected. Best option: Auto.
37,Dwaraka Nagar,TU 142 Aircraft Museum,Beach Road,4.5,18 min,Rs.51,Rs.84,Rs.128,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Dwaraka Nagar to TU 142 Aircraft Museum in Beach Road. ~4.5km. High traffic expected. Best option: Auto.
38,Maddilapalem,TU 142 Aircraft Museum,Beach Road,9.1,18 min,Rs.88,Rs.139,Rs.196,Low,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Maddilapalem to TU 142 Aircraft Museum in Beach Road. ~9.1km. Low traffic expected. Best option: Rapido Bike.
39,NAD Junction,TU 142 Aircraft Museum,Beach Road,9.5,19 min,Rs.91,Rs.144,Rs.202,Low,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from NAD Junction to TU 142 Aircraft Museum in Beach Road. ~9.5km. Low traffic expected. Best option: Rapido Bike.
40,Seethammadhara,TU 142 Aircraft Museum,Beach Road,7.5,20 min,Rs.75,Rs.120,Rs.172,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Seethammadhara to TU 142 Aircraft Museum in Beach Road. ~7.5km. Moderate traffic expected. Best option: Rapido Bike.
41,Jagadamba,TU 142 Aircraft Museum,Beach Road,5.4,15 min,Rs.58,Rs.95,Rs.141,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Jagadamba to TU 142 Aircraft Museum in Beach Road. ~5.4km. Moderate traffic expected. Best option: Rapido Bike.
42,Asilmetta,TU 142 Aircraft Museum,Beach Road,6.8,27 min,Rs.69,Rs.112,Rs.162,High,Auto,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Asilmetta to TU 142 Aircraft Museum in Beach Road. ~6.8km. High traffic expected. Best option: Auto.
43,Railway Station,TU 142 Aircraft Museum,Beach Road,3.0,12 min,Rs.39,Rs.66,Rs.105,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Railway Station to TU 142 Aircraft Museum in Beach Road. ~3.0km. High traffic expected. Best option: Rapido Bike.
