"source_area","hospital_name","hospital_area","distance_km","estimated_walk_duration","walking_difficulty","footpath_availability","traffic_crossing_level","safe_for_night_walk","best_walking_route","peak_heat_time","best_time_to_walk","nearest_landmarks","emergency_alternative_transport","description"
"Gajuwaka","Apollo Hospitals","Health City Arilova","12","2 hr 40 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 12 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Gajuwaka to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Gajuwaka Junction, Old Gajuwaka Road, RINL Gate, Gajuwaka Bus Stand","Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile","Walking route from Gajuwaka to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 12 km taking approximately 2 hr 40 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile."
"Kommadi","Apollo Hospitals","Health City Arilova","11","2 hr 26 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 11 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Kommadi to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Kommadi Junction, NH-16 Service Road, Madhurawada Flyover, D-Mart Road","Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile","Walking route from Kommadi to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 11 km taking approximately 2 hr 26 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile."
"Madhurawada","Apollo Hospitals","Health City Arilova","9","2 hr 0 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 9 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Madhurawada to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Madhurawada Junction, D-Mart Madhurawada, NH-16 Flyover, Narayana IIT Campus","Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile","Walking route from Madhurawada to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 9 km taking approximately 2 hr 0 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile."
"PM Palem","Apollo Hospitals","Health City Arilova","8","1 hr 46 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 8 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from PM Palem to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","PM Palem Circle, 80 Feet Road, Vedanta Hospital, PM Palem Park","Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance","Walking route from PM Palem to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 8 km taking approximately 1 hr 46 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance."
"MVP Colony","Apollo Hospitals","Health City Arilova","7","1 hr 33 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 7 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from MVP Colony to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","MVP Circle, Lumbini Park, MVP Double Road, SBI MVP Branch, Reliance Smart","Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance","Walking route from MVP Colony to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 7 km taking approximately 1 hr 33 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance."
"Siripuram","Apollo Hospitals","Health City Arilova","8","1 hr 46 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 8 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Siripuram to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Siripuram Circle, VIP Road, PL Grand Hotel, Varun Chambers","Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance","Walking route from Siripuram to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 8 km taking approximately 1 hr 46 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance."
"Dwaraka Nagar","Apollo Hospitals","Health City Arilova","8","1 hr 46 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 8 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Dwaraka Nagar to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Dwaraka Nagar Bus Stand, Diamond Park, Station Road, Reliance Smart Bazaar","Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance","Walking route from Dwaraka Nagar to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 8 km taking approximately 1 hr 46 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance."
"Maddilapalem","Apollo Hospitals","Health City Arilova","9","2 hr 0 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 9 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Maddilapalem to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Maddilapalem Junction, CMR Central Mall, NH-16, Isukathota Bus Stop","Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile","Walking route from Maddilapalem to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 9 km taking approximately 2 hr 0 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile."
"NAD Junction","Apollo Hospitals","Health City Arilova","12","2 hr 40 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 12 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from NAD Junction to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","NAD Junction, NAD Road, Gopalapatnam Main Road, Indian Oil Petrol Bunk","Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile","Walking route from NAD Junction to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 12 km taking approximately 2 hr 40 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Dial 108 ambulance immediately, Cab via Ola/Uber, Rapido Bike for shorter last-mile."
"Seethammadhara","Apollo Hospitals","Health City Arilova","8","1 hr 46 mins","Not Recommended for Walking","Partial footpaths on Arilova Road, missing near NH-16 stretch","Moderate - controlled junctions on Arilova Road","Partial - Hospital road is lit but surrounding areas are dim at night","Distance of 8 km is too far for comfortable walking. Take an auto, Rapido bike, or cab from Seethammadhara to Apollo Hospitals (Health City Arilova). Dial 108 for ambulance in emergencies.","11:00 AM - 4:00 PM (avoid walking in Vizag summer heat)","Early Morning 6:00 AM - 9:00 AM or Evening 5:00 PM - 7:30 PM","Satyam Junction, VUDA Complex, Eenadu Office, KSR Complex","Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance","Walking route from Seethammadhara to Apollo Hospitals located at Health City, Chinagadila Road, Arilova. Total walking distance is 8 km taking approximately 1 hr 46 mins. Difficulty: Not Recommended for Walking. Not recommended for emergencies - use transport. Emergency: Rapido Bike or Auto (10-20 mins), Cab via Ola/Uber, Dial 108 ambulance."
