card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,rating-badge,light,objective,objective 2,readMoreSmall
1. Sri Venkateswara Temple,Previous,Next,1.0,2.0,3.0,4.0,3.5,/5,1 km from city center,Temple,Sri Venkateshwara Temple is the most revered and celebrated temple of the temple town of Tirupati having tourists and pilgrims flooding in all year long.
2. Akasaganga Teertham,,,1.0,,,,3.1,/5,12 km from city center,Waterfall,"Akasaganga Teertham is a waterfall in Tirupati, located at a distance of 3 km from the main temple. The waterfall has water flowing all throughout the year and holds immense religious significance."
3. Silathoranam,Previous,Next,1.0,2.0,,,3.1,/5,11 km from city center,Temple,"One of the natural marvels that history left behind, the Silathoranam, now, finds itself being an important landmark in archaeology and heritage. This is a natural rock formation, one of the only three of this kind in the world."
4. Swami Pushkarini Lake,,,1.0,,,,3.1,/5,0 km from city center,Lake,"Almost neighboring the Sri Venkateshwara Temple, is Swami Pushkarini Lake. According to the legends, the lake belonged to Lord Vishnu and was located in Vaikuntham."
5. City Shopping,Previous,Next,1.0,2.0,,,2.9,/5,1 km from city center,Shopping,"While in Tirupati one can shop for religious items such as idols, pendants, paintings and images. Another popular item here are wooden replicas of Lord Tirumala, found in varied sizes."
6. Vedadri Narasimha Swamy Temple,,,1.0,,,,3.1,/5,,Temple,"This temple lies at a distance of 70 km from Tirupati and was constructed by Sir Krishna Deva Raya. It holds great mythological importance and is believed to be the site where Lord Vishnu battled with Rasksash Somakadu, won and took over the vedas from him."
7. Sri Padmavathi Ammavari Temple,Previous,Next,1.0,2.0,3.0,4.0,3.1,/5,1 km from city center,Temple,"At a little distance from the main city area, one finds the Sri Padmavathi Ammavari Temple dedicated to Goddess Padmavathi. One of the many sacred structures of Tirupati, this one is home to many legends and stories about the Goddess."
8. TTD gardens,Previous,Next,1.0,2.0,,,3.1,/5,4 km from city center,Garden & Park,"Spreading over an area of 460 acres, the TTD gardens in Tirupati are known for their ornately decorated and manicured flower gardens. Alongside its lush green beauty, the garden also includes Alwar Tank, Mangalabhavi and Ananthapalligunta."
9. Chittoor,Previous,Next,1.0,2.0,3.0,4.0,3.1,/5,57 km from city center,Temple,"At around 72 km away from Tirupati, Chittoor or Chittur is a temple town and enshrines many deities. Some of the famous temples include Varasiddi Vinayaka Swamy Temple, Subramanya Swamy Temple, Durgamma Gudi and Sai baba Temple."
10. Sri Venkateswara Dhyana Vignan Mandiram,,,,,,,3.2,/5,56 km from city center,Temple,"Established in the year 1980, the Sri Venkateswara Dhyana Vignan Mandiram in Tirupati is a museum that houses some of the most traditional articles that are used to perform Puja."
