card-heading,readMoreSmall,clickable,moreTextHidden
1. Papi Hills,"Papikondalu mountain range runs along the River Godavari (Western Godavari) and is located in Rajahmundry, Andhra Pradesh. Papikondalu is a sheer fest to the eyes in terms of its scenic beauty. As the",(Read More),"hills become closer and closer to the visitor, the width of the mighty Godavari becomes narrower. In accordance with this view resembling the middle partition of a woman's hair, it was initially named as 'Papidi' Kondalu- Paidi in Telugu means the middle partition of a woman�۪s hair. Later, it came to be known as Papikondalu in the local language. The river narrowing, its twists and turns along with the Papi Hills form a breathtaking visual experience."
2. Pattiseema,"Located at a distance of 40 km from the city of Rajahamundry in Andhra Pradesh, Pattiseema is a dreamy rustic hamlet enveloped in the dense green forests of the Papikondalu hill range and the Eastern",(Read More),"Ghats. Owing to its surreal beauty, picturesque landscape and pleasant ambiance, the village has lately gained tourism potential and also lures filmmakers to capture the beauty of the place. Flanked by the gorgeous and gleaming Godavari river, the village is like a green oasis in the centre of city chaos and cacophony and is widely visited by tourists seeking solitude and peace."
3. Godavari Bridge,"Spanning across 2.1 km atop the River Godavari in the city of Rajahamundry, in the state of Andhra Pradesh, Godavari Bridge is India�۪s third largest rail cum road truss bridge. Also known as Kovvur-",(Read More),"Rajahmundry Bridge, the bridge is also a major source of tourism as it offers picturesque views of the golden sun setting in the horizon and merging with the shining water of the Godavari. Known to be synonymous with the arts and culture of the city, the bridge has a road deck over a single track rail deck."
4. Iskcon Temple Rajahmundry,"One of the most famous temples in Andhra Pradesh, Iskcon Temple is a recreational centre in Rajahmundry. It is known as the second-largest Iskcon Temple in the Southern region of India after the Iskco",(Read More),"n in Bangalore. Also known as Gowthami Ghat, this temple is a popular worship spot and is definitely worth a visit.��"
5. Goutami Ghat,"Goutami Ghat is one of the premier recreational places in Rajahmundry, it houses ISKCON Temple, Riverbay Resorts and Water park, Ayyappa Temple, Kailash Bhoomi.",,
6. Maredumilli,"Part of one of the premium eco-tourism projects of the country, Maredumilli is a terrain of undulating plains, evergreen forests and rich biodiversity. Located in the East Godavari district of Andhra",(Read More),"Pradesh, which is known for its rivers, ravines and lush greeneries, Maredumilli is a paradise for the nature lover, for the adventure seeker and for the offbeat traveller. The resort, officially named Valmiki Valley Vana Vihara Sthali, is an enchanting nest of nature�۪s finest, offering its visitors the most authentic, organic experiences. With dense woods and the smell of the wild enveloping the region, an exploding count of flora and fauna, sparkling rapids gushing down the slopes and crevices and exciting campsites to explore, Maredumilli is sincerely one of the best destinations to pick from in Andhra Pradesh, to spend a weekend away from the madding city crowds and the monotony of your everyday life."
7. Annavaram,"Located in the East Godavari district of Andhra Pradesh, Annavaram is a small hamlet on the banks of river Pampa. It is famous for its shrine of Lord Veera Venkata Satyanarayana Swamy, a form of the H",(Read More),"indu deity- Lord Vishnu, and is flocked by tourists throughout the year. The land belongs to both Satyanarayana Swamy and the Goddess Ananta Lakshmi Satyavathi Devi. The devotees come here to perform the special ritual of Satyanarayana Vratam to please Lord Vishnu. The prayer is mostly performed before housewarming ceremonies and wedding functions."
8. Rajahmundry Temples,"Rajahmundry is home to several famous temples that makes this place a pilgrim spot. These are some of the famous pilgrim locations that one must visit: Draksharama, Kotipalli, Samalkot, Pattiseema, Ry",(Read More),"ali, Maredumilli, Dowleswaram, Annavaram, Dvaraka Tirumala, Iskon Temple."
9. Draksharama,"Located on the eastern bank of Godavari, Draksharamam Temple is one of the five most powerful and prominent temples dedicated to Lord Shiva in the country. 40kms away from Rajahmundry, the temple arch",(Read More),"itecture dates back to 11th century. Draksharamam is perfect for a religious pilgrimage, the scenery around the temple is pleasant and the road journey to the temple is nothing short of beautiful. The area and the temple is also called 'Dakshin Kashi' - that signifies its importance as a place of immense religious importance."
10. Dowleswaram,Dowleswaram is a small city in the Rajahmundry district of Andhra Pradesh which was only a census town till 2011 and was only recently included fully in the corporation in 2013. The highlight of the t,(Read More),"own is the Dowleswaram Barrage which is built across River Godavari and is one of the top tourist attractions in the region. The dam was built by Sir Arthur Cotton. In the memory of the aforementioned personality, a museum has also been constructed in town which displays projects and demos relating to the irrigation works."
11. Sir Arthur Cotton Museum,"Constructed in 1988, this museum is dedicated to the memory of Sir Arthur Cotton who was the mastermind behind the transformation for the ferocious Godavari river into a tame force useful for irrigati",(Read More),on and water supply.
12. Dwaraka Tirumala,"Situated at a distance of 94 km from Rajahmundry, Dwaraka Tirumala is an ancient holy town and a popular pilgrimage spot in the state of Andhra Pradesh. The highlight of the village is the pious and r",(Read More),evered shrine dedicated to Lord Venkateshwar. The temple is known far and wide for the colossal statue of Lord Venkateshwar at the backside of the temple. The temple is also called Chinna Tirupati after the presiding deity.
