destTitle,destTitleType,text-overlap-extn,destDesc,destDesc 2,destTitle 2,destTitleType 2,destDesc 3
Srikalahasteeswara Temple,Pilgrimage,#1 of 12 Places to Visit in Srikalahasti,"At a distance of 2 km from Srikalahasti Bus Station, Srikalahasteeswara Temple (referred as ) is one of the famous Shiva temples in South India. It is said to be the site where Kannappa, a great devotee of Shiva, was ready to offer both his eyes to cover blood flowing from the Siva linga before the Lord Siva stopped him and granted mukti.The ancient Shiva temple of Sri Kalahasti finds reference in the three ancient epics the Skanda Purana, Shiva Purana and the Linga Purana. According to Skanda Purana, Arjuna came to this place to worship Kalahastheeswara (Lord Shiva) and met Rishi Bharadwaja on the peak of a hill.This temple is one of the most impressive Siva temples in South India. This temple features 120 feet high enormous and ancient gopura over the main gate. The entire temple is carved out of the side of a huge stone hill. The initial structure of this temple was constructed by Pallava dynasty in .....",Srikalahasti Temple,,,
Swarnamukhi River,Backwaters,#2 of 12 Places to Visit in Srikalahasti,"At a distance of 2 Kms from Srikalahasti Bus Station, Swarnamukhi River is located near . When the hermits of Bilwaka grove pleaded with Sage Agastya on lack of water, he brought river Akash Ganga to the earth. As ordained by Lord Siva, Akash Ganga flowed as Swarnamukhi and sanctified the temple at Sri Kalahasti.According to another legend, Lord Siva directed Sage Vashishta to proceed, along with Arundhati. Sage Vashishta finding that there was no water in the vicinity undertook a penance invoking Lord Brahma. Lord Brahma approached Lord Siva and told him about the cause of Sage Vashishta's penance. Thereupon Lord Siva unlocked Ganga from his matted hair and allowed her to follow Brahma. Gangadevi sparkling in golden hue rushed to the place where Sage Vashishta lived. Thus, the river here got its name Suvarnamukhi.Boating facility is available here.",Srikalahasti Temple,,,
Pathala Vinayaka Temple,Pilgrimage,#3 of 12 Places to Visit in Srikalahasti,"At a distance of 2 Kms from Srikalahasti Bus Station, Pathala Vinayaka Temple here is situated at the northern entrance of  at a depth of 35 feet. There is a legend that talks about Vinayaka's manifestation deep in the Suvarnamukhi River. According to the legend, Suvarnamukhi River dried up once because Sage Agastya did not worship Lord Vinayaka when he came to Dakshin Kailash. Realizing his mistake, the Sage worshipped and obtained Lord Vinayaka's blessings. As the image of the Lord appeared at bottom of the riverbed, the image came to be known as Pathala Vinayaka. This shrine can be found close to the northern Gopuram of Sri Kalahsthiswara Temple. It can be reached by descending a plight of 20 steps.",Srikalahasti Temple,,,
Bharadwaja Tirtham,Pilgrimage,#4 of 12 Places to Visit in Srikalahasti,"At a distance of 2 Kms from  Bus Station, Bharadwaja Tirtham is a tank situated to the east of Srikalahasti Temple. This place is amidst three hills and well known for its scenic beauty. The Thapo Vinayaka idol situated in the middle of the tank is a special attraction here.To the south of the temple, on top of a hill there is a shrine for Panchamukheswara with few good sculptures. Maharishi Bharadwaja is said to have meditated here in the Krtha Yuga.",Srikalahasti,,,
Tada Falls / Ubbalamadugu Falls,Adventure,#5 of 12 Places to Visit in Srikalahasti,"At a distance of 29 km from Tada, 45 km from , 85 km from Tirupati, 92 km from Chennai, 130 km from Nellore and 156 km from Chittoor, Tada falls or Ubbalamadugu Falls is situated in Varadaiahpalem mandal of Chittoor district. It is situated on the border of Tamil Nadu and Andhra Pradesh and is an ideal place for trekking near Chennai for a day trip.The falls are located in a dense forest called Siddulaiah Kona. The falls are located within the Kambakam hills and are a popular destination for trekking, climbing and picnicking. The terrain that surrounds the falls includes rocky hill formations and lush forests interspersed with a number of streams. To reach the falls visitors have go through the Varadaiahpalem village, about 12 km from Tada falls. There is only 7 km rugged path and the remaining distance has to be trekked through. SUVs or vehicles with high ground clearance are best suited to reach the trekking .....",Srikalahasti,|,Waterfall,
Pulicat Lake & Sanctuary,Backwaters,#6 of 12 Places to Visit in Srikalahasti,"At a distance of 9 from Sullurpet, 50 km from , 105 km from Nellore & 88 km from Chennai Central Railway Station, Pulicat Lake is the second largest brackish water lake in India, after Orissa's Chilka Lake. It lies at the border of Thiruvallur district in Tamil Nadu and Nellore district in  states. The island of Sriharikota (home for famous ISRO) separates the lake from the Bay of Bengal. This is one of the popular tourist  and an ideal weekend getaway near Chennai.The sanctuary is home to wide range of migratory birds that migrate in large numbers in winter. It is one of the best places for bird watching in the vicinity of  city and at the same time experience the memorable boat riding in Pulicat Lake. The entrance to the .....",Srikalahasti,,,Andhra Pradesh
Kannappa Temple,Pilgrimage,#7 of 12 Places to Visit in Srikalahasti,"At a distance of 2 Kms from Sri Kalahasti Bus Station, Kannappa Temple is situated on the south hill near main . This is the shrine of Kannabeswara, built in the memory of Sage Kannappa, who offered an eye to Lord Shiva. When he tried to offer his other eye as well, the Lord mercifully stopped him. Chaturmukeswaram Temple can be also found here as a linga with four faces. Timings: 6 AM to 6:30 PM.",Srikalahasti Temple,,,
Varadaraja Swami Temple,Pilgrimage,#8 of 12 Places to Visit in Srikalahasti,"At a distance of 2 Kms from SriKalahasthi Bus Station, Sri Prasanna Varadaraja Swami Temple is situated in center of the town. Timings: 6 AM to 9 PM",,,,
Veyilingala Kona Waterfalls,Pilgrimage,#9 of 12 Places to Visit in Srikalahasti,"At a distance of 7 Kms from SriKalahasthi, the Veyilingala Kona Waterfalls is a nice place in a close proximity of . This place usually becomes lonely by 5 PM.There is a temple Thousand Lingas, a single linga inscribed with 1000 miniature lings. Temple Timings: 8 AM to 6 PM.Autos can be hired from Srikalahasti to reach this place.",Srikalahasti,|,Waterfall,
Tirupati,Pilgrimage,#10 of 12 Places to Visit in Srikalahasti,"At a distance of 71 km from Chittoor, 413 km from Vijayawada, 556 km from Hyderabad, 763 km from Vizag, 134 km from Chennai and 259 km from Bangalore, Tirupati is a pilgrimage city in the extreme southeast of Andhra Pradesh in Chittoor district. It is often referred as a synonym to Tirumala, which is a sacred temple town famous for Sri Venkateswara Temple also known as Tirumala Tirupati Balaji Temple. Tirupati along with Chandragiri is an  for a two day trip and also one of the top .Tirupati is one of the most ancient and sacred pilgrimage sites in India. Tirumala, the home of Lord Venkateswara is at a distance of 22 km from Tirupati. However, Tirupati is the town and transport hub at the bottom of the hill. The initial temple at Tirumala was built by the Tamil king Thondaimaan. The Pallavas of Kanchipuram (9th century), Cholas of .....",ideal weekend getaways from Chennai,|,City,Andhra Pradesh tourist places
