card-heading,readMoreSmall,clickable,moreTextHidden
1. Manginapudi Beach,"Once served as major port, Manginapudi is currently a fishing village located on the shores of a beach nearly 11 km from Machelipatnam. This beautiful natural beach is unique for its black soil and al",(Read More),so a natural bay comprising shallow water level.
2. Panduranga Swamy Temple,This beautiful ancient temple spread across an area of six acres is dedicated to Lord Panduranga Vithal. Panduranga Swamy Temple houses a statue of the lord that measures 3 feet in height and resemble,(Read More),s a lot of the childhood appearance of Lord Krishna.
3. The Lighthouse,"A 50 m high lighthouse on Machilipatnam Beach is a sight of pure grace and beauty. Coloured in the bands of black and white, this light house was renovated to the present form in 1982 and as completed",(Read More),in year 1984.
4. Temples of Lord Shiva,"Five ancient temples dedicated to Lord Shiva can be spotted in the town of Machelipatnam. These age old temples situated at Amravati, Chebrolu, Samalkot, Bhimavaram and Draksharama reflects the rich c",(Read More),ultural heritage of the town.
5. Shopping in Machelipatnam,Machelipatnam is a beach town which is renowned for its unique and exquisite handicraft. Kalamkari fabric with beautiful floral and vegetal designs is specialty of the town along with the Kalahasti wa,(Read More),ll hangings. Do not forget to buy them as a souvenir.
6. Dattashram,Dattashram is a holy site nestled along the sea housing an ancient temple dedicated to Lord Shiva. Another temple built recently is situated nearby is Datta Temple.,,
7. Machilipatnam Church,"Another important shrine in Machelipatnam, Machilipatnam Church is quite popular among tourists and devotees. The church built in 19th century comprises of prayer halls that were crafted by an English",(Read More),man.
8. Sai Maharaj Devalayam,"Lying at the district court center of Machilipatnam, Sai Maharaj Devalayam is a popular shrine located in the town. It is dedicated to Sri Saibaba of Shirdi housing hid idol and attracts devotees in l",(Read More),arge number.
9. Swimming in Machelipatnam,Manginapudi Beach is an ideal place to relax and unwind while either sitting on the shore or swimming amid the shallow water of this natural bay.,,
10. Hamsaladeevi,"Located in the Krishna district of Andhra Pradesh, Hamsaladeevi is a tiny village near Machilipatnam town. The village is situated at the confluence where River Krishna merges into the Bay of Bengal.",(Read More),"This point is known as Sagara Sangamam and is an important tourist attraction. Here the water can be seen in three different shades. Besides, the highlight of the village is the Hamsaladeevi beach where you can sit and relax and enjoy the gorgeous sunsets."
