destTitle,destTitle 2,destTitleType,destTitleType 2,destDesc,destDesc 2,destDesc 3,divDestType,btn 2,btn 3,destDesc 4
1. Vijayawada,|,City,Pilgrimage,"At a distance of 37 km from Guntur, 273 km from Hyderabad, 354 km from , 453 km from Chennai and 643 km from Bangalore, Vijayawada, also known as Bezawada, is the second largest city in Andhra Pradesh State and also one of the top . It is located on the banks of the Krishna River to the South, Budameru River on the north and the Indrakiladri Hills on the west. This is the largest railway junction of the South Central Railway, situated along the Chennai-Howrah and Chennai-Delhi rail route.  Legend says that Goddess Durga took rest in this sacred place after destroying a Rakshasa and since then the name 'Land of Victory' or Vijayawada came into existence.  The discovery of Stone Age artifacts along the banks of River Krishna from Machilipatnam to Nagarjuna Sagar indicates that this area was inhabited long before. The Chalukyas once conquered this place and it was later part of Vengi Kindom, Eastern Gangas, Vijayanagaras and Reddy Dynasty. Finally it came under British Madras presidency. The major attractions of Vijayawada are Kanaka Durga temple and Mangalagiri temple. Apart from these, other tourist attractions include Prakasham Barrage, Gandhi Hill, Mogalarajapuram Caves, Victoria Museum, Hazarat Bal Mosque, Rajiv Gandhi Park and Bhavani Island. The Kondapalli Reserve Forest in the western outskirts that sprawls over an area of 121.5 sq. km is ...",Vizag,Places to visit in Andhra Pradesh,Distance from Vizag: 354 Kms,Vijayawada Packages from ₹5250,Vijayawada Tourist Places,
2. Bhadrachalam,,Pilgrimage,,"At a distance of 39 km from Kothagudem, 115 km from Khammam, 178 km from Rajahmundry, 182 km from Vijayawada, 352 km from Vizag and 312 km from Hyderabad, Bhadrachalam is a pilgrimage town in Khammam district of Telangana State, situated on the banks of the River Godavari.  is renowned for the famous Sri Rama Temple built in 17th century and is one of the best . The temple for Lord Rama was built by a devotee called Kancherla Gopanna popularly known as Bhakta Ramadasu in the 17th century. Gopanna was the Tasildar of Bhadrachalam and constructed the temple using public donations. But the Golconda Sultans were misled and felt that Gopanna had misused the government funds to build the temple. He was imprisoned in a dungeon at Golconda Fort. Lord Rama is said to have miraculously appeared before the Sultan and paid the money spent by Gopanna, after which he was released. Gopanna then became Bhadrachala Ramadasu and went on composing several songs in Telugu in praise of Rama. Kabirdas, the famous Muslim saint and poet, was also closely associated with this temple. This is another popular attraction to visit as part of .This holy town with beautiful landscapes provided by River Godavari attracts several devotees throughout the year ...",Bhadrachalam,tourist places near Hyderabad,Distance from Vizag: 363 Kms,Bhadrachalam Packages from ₹10148,Bhadrachalam Tourist Places,Hyderabad tour packages
3. Annavaram,,Pilgrimage,,"At a distance of 84 km from Rajahmundry, 123 km from Vizag, 234 km from Vijayawada and 483 km from Hyderabad, Annavaram is a village situated on the banks of river Pampa in East Godavari district of Andhra Pradesh.  is famous for Sri Satyanarayana Swamy temple and is one of the famous . It is believed that all the wishes of devotees will be fulfilled when Satyanarayana Vratam is performed here.It is believed that the presiding deity of the place blesses the devotees with anina varam (pronounced or wanted boon), the place is called Annavaram. According to history, Sri Krishnadevaraya of Vijayanagar used the secret underground passages in the hills to attack the enemy from both sides during his invasion of Kalinga. The Andhra revolutionary late Alluri Seetharama Raju used the secret quarters in these hill ranges, when he rebelled against the British Rule.The shrine of Lord Veera Venkata Satyanarayana Swamy is situated on Ratnagiri hill top. The name of the Goddess is Ananta Lakshmi Satyavathi Devi. Meruvu the Lord of the hills and his consort Menaka did great penance and got two sons by the grace of Lord Vishnu. One was Bhadra and the other Ratnakara. Bhadra pleased Lord Vishnu with his devotion and penance, became  on which Lord Sri Rama had permanently settled. Ratnakara ...",Annavaram,Places to visit in Andhra Pradesh,Distance from Vizag: 124 Kms,,Annavaram Tourist Places,Bhadrachalam
4. Puri,|,Beach,Pilgrimage,"At a distance of 36 km from Konark, 58 km from Bhubaneswar, 82 km from Cuttack, 390 km from Rourkela, 407 km from Jamshedpur, 434 km from Vizag, 495 km from Kolkata, and 522 km from Ranchi, Puri is an ancient temple town situated along the coast of Bay of Bengal in Odisha. Puri is one of the places of original holy Char Dham Yatra of Hinduism and also one of the top places to experience Odisha Tourism.Earlier called as ShriKhetra, Purushottama Khetra, and Jagannath Puri, Puri is home to the world famous Sri Jagannath Temple. Often referred as the spiritual capital of Odisha, Puri forms the Golden Triangle of Orissa along with Konark and Bhubaneswar. Puri became an important center of pilgrimage with the arrival of Gangas in the 12th century and emerged as one of the centers of Vaishnavism. Anantavarman Chodaganga, one of the powerful rulers of Puri, established the Purushottama Temple and later came to be known as the Jagannath Temple in the 15th century.According to history, Puri and the Jagannath Temple were invaded 18 times by Hindu and Muslim rulers from 4th century AD till the early 19th century. Puri was declared as the capital of Odisha under the British till 1816 CE. In 1828 CE the whole territory was separated into three regions, Katak, Balasore, and Jagannath Puri. In 1936 CE Odisha was divided from the state of Bihar and Puri was formed in 1948 CE.Dedicated Lord Vishnu, Lord Jagannath Temple is one of the prime places to visit in Puri and is a ...",,,Distance from Vizag: 447 Kms,Puri Packages from ₹6490,Puri Tourist Places,
5. Simhachalam,,Pilgrimage,,"At a distance of 18 km from  Railway Station & 128 km from , 208 km from Rajahmundry, 359 from Vijayawada, 607 km from Hyderabad, Simhadri or Simhachalam is a Hindu temple located in the Visakhapatnam City suburb of Simhachalam in . This 11th century temple is dedicated to Sri Varaha Narasimha Swamy, an incarnation of Vishnu and situated on top of the Simhachalam Hills. The temple is believed to have been constructed in 1098 by the famous Chola king, Kulothunga Chola. The queen of Kalinga gifted golden armor to the statue. The Eastern Ganga King Narasimha Deva has constructed the central shrine in 1267. Krishna Deva Raya, the Vijayanagara Emperor visited this temple in the year 1516, as seen from inscriptions here. The temple activities are managed by the Pusapati Gajapatis, for last three centuries.The architectural of the central shrine follows Kalinga style. Facing towards west, it is a square shrine surmounted by a high tower, a portico in front with a small tower, a carved 16 pillared Natya mantapa. The shrine has inscriptions dating back to 1098 AD on its walls. The deity is always kept covered with sandal paste. The actual form of the deity is in the tribhanga posture with two hands & head of a lion, which can be viewed only during the 'Chandanotsavam' in April/May. Legend has it that the Ugra form of ...",Vizag,Annavaram,Distance from Vizag: 18 Kms,Simhachalam Tourist Places,,Andhra Pradesh
6. Samarlakota,,Pilgrimage,,"At a distance of 12 kms from Kakinada, 40 kms from , 52 km from Rajahmundry,199 km from Vijayawada, 172 km from  & 447 km from Hyderabad, Samalkota is very famous for Pancharama Sri Kumararama Bheemeshwara Swamy temple. Situated just beside the Railway Station, this temple is dedicated to Lord Shiva.This place was known as Purva Chalukya Bhimavaram as the Eastern Chalukyans ruled this place. The temple was built by Chalukya Kumara Rama during the end of 9th century as a celebration of his victories in more than 300 wars. A mantapam supported with one hundred pillars is built here along with Eka Shila Nandi (Single Stone Bull) at the temple entrance opposite to Shiva Lingam. Goddess Shri Bala Thripura Sundari is also worshipped in this temple. Pushkarni Lake is situated to the east of temple. The main entrance to the temple is called Surya Dwaram. Kalyana Mahotsam & Mahashivratri are most celebrated festivals here. Timings: 6 AM to 12 PM & 4 PM to 8 PM",Annavaram,Visakhapatnam,Distance from Vizag: 150 Kms,Samarlakota Tourist Places,,
7. Draksharamam,,Pilgrimage,,"At a distance of 17 km from Kakinada, 42 km from Rajahmundry, 65 Kms from , 197 km from Vijayawada, 198 km from  & 466 Kms from Hyderabad, Draksharamam is famous for one of the pancharama temples called Draksharama Bheemeshwara Swamy temple. This temple is situated in a green belt of river Godavari. Draksharamam is among prime place to visit on a .This temple was constructed by the East Chalukyan king during 9th century. The temple also consists one of the Shakti Peethas called Sri Manikyamba. The speciality of this Shiva Lingam in this temple is that, the early morning tender Sun light falls on the Linga. There are nearly 800 ancient scripts on the walls of the temple. The celebrations in this temple were started during 14th century in the period of Reddy Kings. Shiva Lingam is nearly 9 ft height and the top part is seen at the first floor. There are other small temples inside the main temple premises. Once upon a time Draksharama was considered as a Buddhist complex.It is easily accessible by Bus from Kakinada & Rajahmundry (40 Kms).Timings: 6 AM to 12 PM & 3 to 8 PM",Annavaram,Vizag,Distance from Vizag: 198 Kms,Draksharamam Tourist Places,,Vizag tour
8. Puruhutika Devi / Kukkuteswara Temple - Pithapuram,,Pilgrimage,,"At a distance of 2.5 km from Pithapuram Railway Station, 12 km from Samarlakota, 16 km from Kakinada, 61 km from Rajahmundry, 31 km from , 208 km from Vijayawada and 152 km from , Sri Kukkuteswara Swamy temple is an ancient Siva temple in East Godavari District of Andhra Pradesh. Pithapuram which was earlier known as Pithikapuram is one of the Ashta Dasha (Eighteen) Shakthi Peethas.Kukkuteswara Swamy temple is the most famous temple of Lord Shiva at Pithapuram. The presiding Deity is Lord Shiva, who reveals himself in the form of a Spatika Linga. This is a Swayambhu Linga of white marble and is about two feet in height. The Linga resembles that of a cock; hence Lord Shiva is called Sri Kukkuteswara Swamy. There is a huge beautiful idol of Nandi (bull) made from a single stone in front of the temple. The shrine of Sri Rajarajeswari, consort of Sri Kukkuteswara Swamy, is present beside the Shiva temple.There is the temple of Puruhutika Devi inside the campus of Sri Kukkuteswara Swamy Temple. It is one of the Asta Dasha Shakti Peethas. After Daksha Yagna, Goddess Sati Devi's body part (back part) has fell down in this area, because of this place earlier people has called as Puruhoothika puram later it has changed as Peetika Puram. Finally it has changed Pithapuram. This temple is considered as the 10th Sakthi Peetham of the 18 Shakti Peethas.This place ...",Annavaram,Vizag,Distance from Vizag: 137 Kms,Puruhutika Devi / Kukkuteswara Temple - Pithapuram Tourist Places,,
9. Sri Ksheera Rama Temple - Palakollu,,Pilgrimage,,"At a distance of 1.7 km from Palakollu Railway Station, 85 km from Eluru, 67 km from Rajahmundry, 138 km from Vijayawada, 97 km from Kakinada, 22 km from Bhimavaram and 258 km from , Sri Ksheera Rama Temple is one of the Pancharama temples, situated in West Godavari district of Andhra Pradesh. The other four are Amararama Temple in Amaravathi, Draksharama Temple in Draksharamam, Kumararama Temple in Samalkoti and Somarama Temple in Bhimavaram.Lord Shiva is worshipped as Ksheera Ramalingeswara Swamy at this temple. The temple tower is one of the tallest among the temple towers in Andhra Pradesh. The height of the temple is 120 ft with 9 floors constructed during the reign of Chalukya Bheema in 9th century. The Prakara was designed by Sri Velupathi during 10th century. Gopuram was constructed by Sri Alladu Reddy during 14th Century. This ancient temple has been listed as a protected monument by the Archaeological Department. The Shivlinga is a unique milky white in color and the tallest. According to legend, Upamanyu the son of sage Kaushik, requested Lord Shiva to grant him enough milk so that he can carry on the rituals in the temple. Lord Shiva filled the Ksheera Pushkarni Tank with the mythical milky ocean (Ksheera Sagaram). Hence this place is known with different names, Ksheerarama, Palakollu and Dugdhapovanam. The Shiva Lingam inside the garabha griha can be seen from all the four sides through ...",Visakhapatnam,,Distance from Vizag: 257 Kms,Sri Ksheera Rama Temple - Palakollu Tourist Places,,
10. Sri Venkateshwara Swamy Temple - Dwaraka Tirumala,,Pilgrimage,,"At a distance of 1 km from Dwaraka Tirumala Bus Stand, 45.5 km from Eluru, 73 km from Rajahmundry, 101 km from Vijayawada, 135 km from Kakinada and 278 km from , Sri Venkateswara Swamy Temple is located on the top of the Seshachala Hill at Dwaraka Tirumala in West Godavari district of Andhra Pradesh. This temple is considered as sacred as the famous Sri Venakteswara Temple of .Lord Vishnu is presiding deity here in the form of Sri Venkateswara Swamy. The temple was constructed by the Mylavaram Zamindars in 19th century. The self-manifested idol of Sri Venkateswara Swamy was unearthed by a saint named Dwaraka and hence, the temple is called Dwaraka Tirumala. This place is also called Chinna Tirupati.The statue of the lord is visible above the waist and the lower portion is imagined to be in the earth. The holy feet are said to be offered to Bali Chakravarthi in Patala loka for his daily worship. The full size idol of Lord Venkateswara standing at the back of the main idol is said to have been installed by the great social reformer Ramanujacharya in 11th century. These two idols are located in the same sanctum sanctorum which is a unique feature of this temple. The idols of Goddess Padmavathi and Nanchari are installed in the Arthamandapa. This temple is a masterpiece of South Indian Architecture with its five-storied main Rajagopuram facing the ...",Visakhapatnam,Tirumala,Distance from Vizag: 257 Kms,Sri Venkateshwara Swamy Temple - Dwaraka Tirumala Tourist Places,,
