card-heading,slick-active,rating-badge,objective,objective 2,readMoreSmall
1. Vizianagaram,1.0,3.4,0 km from city center,Historical Site,"The city of Vizianagaram is a place packed with the glory of the past and relics of ancient traditions and rituals in form of a majestic fort. The headquarters of the district, this place is also home to an ancient temple of Pydithalli Ammavaru."
2. Saripalli,1.0,3.1,9 km from city center,Temple,Saripalli is a small village situated on the banks of Champavathi River and lies in the Nellimarla mandal of District Vizianagaram. The village is mainly renowned for its beautiful temple of Dibbi Lingeswara Swami temple which is said to be built under the reign of Chalukyas.
3. Gosthani Sarovar Vihar,1.0,3.1,23 km from city center,Lake,"Gosthani Sarovar Vihar is an ideal spot to relax and unwind situated near Vizianagaram city. Serving as a perfect picnic place, it is nestles at the Thatipudi Reservoir Project near the Thatipudi Village."
4. Kumili,1.0,3.1,13 km from city center,Temple,"Kumili, situated about 20 km from Vizianagaram is a small quaint village which is famous for its bunch of beautiful temple all clustered in a complex."
5. Raamateertham,,3.1,13 km from city center,Temple,"Raamateertham is a place located nearly 13 km away from Vizianagaram on the Bavikonda Hill. It is renowned as a site adorned with a 1000 year old Lord Rama Temple, established during the 16th century under the reign of Pashupati kings."
6. Bobbili,,3.6,52 km from city center,Historical Site,"Bobbili is an ancient town marked with the reflection of courage, bravery and heroism, and is home to a majestic Bobbili Fort."
7. Punyagiri,1.0,3.1,30 km from city center,Temple,"A sacred site where a very famous and one of the oldest Shiva Temples id located, Punyagiri is a place located about 25 km from Vizianagaram. The most prominent feature of the temple is that the lingam enshrined in the temple is bathed by an underground water source."
8. Venkateswara Alayam Govindapuram,1.0,3.1,23 km from city center,Temple,Govindpuram situated around 20 km from Vizianagaram is village housing a temple famous for its magnificent sculpture of Lord Krishna on a chariot. However the most striking feature of the place is a Gita Mandir which is flocked by devotees from all around the globe.
9. Shopping in Vizianagaram,1.0,3.0,1 km from city center,Shopping,Vizianagaram is famed for various kinds of handicrafts especially wooden toys and beautiful wall hangings. Kalamari paintings are also quite popular in the city.
10. Ghanta Stambham/ Clock Tower,1.0,3.1,2 km from city center,Monument,A clock tower located in the city chimes as the clock strikes hour to define town.
11. Jami Vruksham,,3.1,15 km from city center,Landmark,"Situated 10 km from Vizianagaram, Jami Vruksham is a tree lying on the banks of the River Gowthami. As per the legend, it is said that while on exile, Pandavas hid their weapons in this tree."
12. Sirimanu Utsav,,3.1,2 km from city center,Fairs & Festivals,"A most prominent and widely celebrated festival in the town, Sirimanu Utsav is held on the first Tuesday after Vijayadasami annually. During the festival a procession is organized comprising of two major activities namely Anjali Chariot and Paladhara."
