card-heading,rating-badge,light,objective,objective 2,readMoreSmall
1. Bhavani Island,4.1,/5,9 km from city center,Island,"The largest island in the Krishna River, the Bhavani island is a favorite of all its visitors and home to numerous activities, to give you an ideal holiday experience."
2. Kanaka Durga Temple,4.1,/5,3 km from city center,Temple,"The Kanaka Durga Temple is a famous shrine dedicated to the Goddess Durga. Located in Vijayawada district of Andhra Pradesh, this astounding architecture is built in Dravidian fashion. The temple is surrounded by the hills of Inrakeeladri, right along the banks of the Krishna River. The temple finds mention in many sacred texts and Vedic literature as well and is a revered temple among devotees an"
3. Undavalli Caves,4.2,/5,7 km from city center,Cave,"Elaborate caves, form the 7th century, the Undavalli Caves are 4-stories high and hold a majestic and sprawling statue of Lord Shiva, carved out of a single piece of granite."
4. Kondapalli Fort,3.4,/5,18 km from city center,Forts & Palaces,"A fort with roots in parallel histories, this one is said to have been built as a center of recreation, business and trade. The main entrance gate, carved out of a single boulder of granite is called the Dargah Darwaja."
5. Mogalarajapuram Caves,3.1,/5,11 km from city center,Cave,"These are ancient caves, dating back to 5th century and one of the most significant landmarks of the heritage of Vijayawada. Though a lot has been lost to ruins, the caves still hold religious and spiritual value as they house idols of Lord Nataraja and Lord Vinayaka amongst many more, a few cave temples and a shrine for Goddess Durga."
6. Subramanya Swamy Temple,3.6,/5,4 km from city center,Temple,"Dedicated to the Lord of serpents Kartikeya, the Subramanya Swamy Temple is a shrine located in Vijayawada (Andhra Pradesh), set on the foot of the Indrakiladari Hills. The temple worships all three forms of Lord Subramanya- Sri Dandayudhapani Swamy as a boy, Sri Valli Devayanai- his original form and lastly in the form of a serpent. It is carved out of sparkling white stone with intricate stonewo"
7. Victoria Museum,3.1,/5,2 km from city center,Museum,"A museum of the Archaeology Department, this is a walk through imprints of time and all it left behind. Browse through a rich and ancient collection of sculptures, idols, inscriptions, paintings, cutlery and weapons."
8. Besant Road,3.1,/5,2 km from city center,Shopping,"The busiest trade centers of the city, bustling with activity and trade, Besant Road is a dynamic place in Vijayawada. The road has grown into a pivot of commercial hustle in recent times."
9. Amaravathi,3.1,/5,32 km from city center,Buddhist Temple,"About an hour away from Vijayawada is one of the most significant and sacred pilgrim center for Buddhists, in the country. Take a day trip to Amaravathi to witness the Largest Stupa of the country, built by Acharya Nagarjuna, 2000 years ago."
10. Hinkar Thirtha,3.1,/5,20 km from city center,Temple,"One of the most renowned Jain temples, this structure houses the only Jain Shrine in the area. Adorned with the Jain style of architecture, this is also one of the most beautiful structures in town."
11. Gandhi Hill,3.1,/5,4 km from city center,Hills & Valleys,"The Gandhi Stupa, as it is better known, is a very famous tourist spot in Vijayawada that has been attracting hordes of tourists mainly due to a planetarium and the Light and Sound show depicting the life and teachings of Mahatma Gandhi."
